STA_SEQ,Station_ID_1,ADB_SegmentID,Station_Name,Proximity_Landmark,Municipality_Name,State_Name,SUB_BAS_SEQ_Name,YLat,XLong,LU_StationType_SEQ,textbox2
14146,21,CT5111-00_02,Branford River,downstream bridge off Valley Road,NORTH BRANFORD,Connecticut,5111 - Branford River - South Central Eastern Complex - South Central Coast,41.3072,-72.7648,River/Stream,Total Records: 6196
14147,22,CT4206-00_01,Broad Brook,upstream USGS gage at Route 191,EAST WINDSOR,Connecticut,4206 - Broad Brook - Scantic - Connecticut,41.9147,-72.549,River/Stream,Total Records: 6196
14148,23,CT4311-00_01,Bunnell Brook,upstream 500 meters USGS gage,BURLINGTON,Connecticut,4311 - Burlington Brook - Farmington - Connecticut,41.7846,-72.9657,River/Stream,Total Records: 6196
14149,24,CT7411-00_02,Byram River,downstream Bedford Road,GREENWICH,Connecticut,7411 - Byram River - Southwest Western Complex - Southwest Coast,41.094506,-73.704449,River/Stream,Total Records: 6196
14150,25,CT7411-00_01,Byram River,downstream Comley Avenue,GREENWICH,Connecticut,7411 - Byram River - Southwest Western Complex - Southwest Coast,41.0276,-73.6621,River/Stream,Total Records: 6196
14151,26,NOSEG,Cedar Swamp Brook,upstream Porter Pond Road,STERLING,Connecticut,3500 - Moosup River - Moosup - Thames,41.6731,-71.8274,River/Stream,Total Records: 6196
14152,27,NOSEG,Clarke Brook,adjacent Route 195,TOLLAND,Connecticut,3100 - Willimantic River - Willimantic - Thames,41.8447,-72.3248,River/Stream,Total Records: 6196
14153,28,CT4607-00_03,Coginchaug River,downstream Route 66,MIDDLETOWN,Connecticut,4607 - Coginchaug River - Mattabesset - Connecticut,41.5547,-72.6737,River/Stream,Total Records: 6196
14154,29,CT5200-00_02,Community Lake,upstream Hall Avenue,WALLINGFORD,Connecticut,5200 - Quinnipiac River - Quinnipiac - South Central Coast,41.4625,-72.8302,Lake,Total Records: 6196
14155,30,NOSEG,Compounce Mountain Brook,at end of Dirt road for reservoir access,WOLCOTT,Connecticut,5201 - Eightmile River - Quinnipiac - South Central Coast,41.6206,-72.9353,River/Stream,Total Records: 6196
14156,31,CT7301-00_01,Comstock Brook,upstream wooden footbridge in town park,WILTON,Connecticut,7301 - Comstock Brook - Norwalk - Southwest Coast,41.1961,-73.4354,River/Stream,Total Records: 6196
14157,32,CT7300-07_01,Cooper Pond Brook,downstream plaza entrance bridge,RIDGEFIELD,Connecticut,7300 - Norwalk River - Norwalk - Southwest Coast,41.2677,-73.4422,River/Stream,Total Records: 6196
14158,33,CT4314-00_01,Coppermine Brook,upstream West Washington Street,BRISTOL,Connecticut,4314 - Copper Mine Brook - Farmington - Connecticut,41.6777,-72.9077,River/Stream,Total Records: 6196
14159,34,CT2102-00_01,Copps Brook,downstream Mystic Reservoir (Palmer Reservoir),STONINGTON,Connecticut,2102 - Copps Brook - Southeast Eastern Complex - Southeast Coast,41.3645,-71.9351,River/Stream,Total Records: 6196
14160,35,CT2102-00_01-INTO,Copps Brook,in effluent channel upstream of Copps Brook confluence (jerry brown road),STONINGTON,Connecticut,2102 - Copps Brook - Southeast Eastern Complex - Southeast Coast,41.3649,-71.9344,Other-Surface Water,Total Records: 6196
14161,36,CT2102-00_01,Copps Brook,downstream effluent channel,STONINGTON,Connecticut,2102 - Copps Brook - Southeast Eastern Complex - Southeast Coast,41.3641,-71.9347,River/Stream,Total Records: 6196
14162,37,CT2102-00_01,Copps Brook,upstream second driveway upstream of Quiambog Cove,STONINGTON,Connecticut,2102 - Copps Brook - Southeast Eastern Complex - Southeast Coast,41.3611,-71.9341,River/Stream,Total Records: 6196
14163,38,CT2102-00-trib_01,"Copps Brook, tributary to",downstream Mistuxet Road and Cove Road intersection,STONINGTON,Connecticut,2102 - Copps Brook - Southeast Eastern Complex - Southeast Coast,41.3615,-71.9369,River/Stream,Total Records: 6196
14164,39,CT2102-00_01,Copps Brook,"upstream of first driveway off Cove Road, Just above Quiambog Cove",STONINGTON,Connecticut,2102 - Copps Brook - Southeast Eastern Complex - Southeast Coast,41.3571,-71.9363,River/Stream,Total Records: 6196
14165,40,CT4601-01_03,Crooked Brook,downstream Orchard Road,BERLIN,Connecticut,4601 - Belcher Brook - Mattabesset - Connecticut,41.595,-72.7791,River/Stream,Total Records: 6196
14166,41,CT6019-00_01,Deep Brook,upstream RR bridge,NEWTOWN,Connecticut,6019 - Deep Brook - Housatonic Main Stem - Housatonic,41.404,-73.294,River/Stream,Total Records: 6196
14167,42,CT6019-00_01,Deep Brook,opposite upper POTW,NEWTOWN,Connecticut,6019 - Deep Brook - Housatonic Main Stem - Housatonic,41.4081,-73.2865,River/Stream,Total Records: 6196
14168,43,CT6019-00_01,Deep Brook,downstream bridge crossing at former stp outfall,NEWTOWN,Connecticut,6019 - Deep Brook - Housatonic Main Stem - Housatonic,41.4096,-73.2855,River/Stream,Total Records: 6196
14169,44,CT6019-00_01,Deep Brook,downstream opposite from effluent,NEWTOWN,Connecticut,6019 - Deep Brook - Housatonic Main Stem - Housatonic,41.4096,-73.2855,River/Stream,Total Records: 6196
14170,45,CT6019-00_01,Deep Brook,downstream outfall,NEWTOWN,Connecticut,6019 - Deep Brook - Housatonic Main Stem - Housatonic,41.4101,-73.2851,River/Stream,Total Records: 6196
14171,46,CT6019-00_01,Deep Brook,upstream tributary,NEWTOWN,Connecticut,6019 - Deep Brook - Housatonic Main Stem - Housatonic,41.4115,-73.2848,River/Stream,Total Records: 6196
14172,47,CT6019-00_01,Deep Brook,upstream mouth near Pootatuck River,NEWTOWN,Connecticut,6019 - Deep Brook - Housatonic Main Stem - Housatonic,41.4131,-73.2823,River/Stream,Total Records: 6196
14173,48,NOSEG,Dickinson Creek,at dirt road off Islieb Street,MARLBOROUGH,Connecticut,4708 - Dickinson Creek - Salmon - Connecticut,41.6642,-72.4843,River/Stream,Total Records: 6196
14174,49,CT4802-00_01,East Branch Eightmile River,100 meters upstream Mouth downstream Route 156,LYME,Connecticut,4802 - East Branch Eightmile River - Eightmile - Connecticut,41.4309,-72.3375,River/Stream,Total Records: 6196
14175,50,CT6905-00_02,East Branch Naugatuck River,adjacent to Newfield Road at old RR tressel,TORRINGTON,Connecticut,6905 - East Branch Naugatuck River - Naugatuck - Housatonic,41.8203,-73.1232,River/Stream,Total Records: 6196
14176,51,CT6905-00_02,East Branch Naugatuck River,upstream Route 4,TORRINGTON,Connecticut,6905 - East Branch Naugatuck River - Naugatuck - Housatonic,41.8122,-73.1221,River/Stream,Total Records: 6196
14177,52,CT6905-00_01,East Branch Naugatuck River,downstream Main Street,TORRINGTON,Connecticut,6905 - East Branch Naugatuck River - Naugatuck - Housatonic,41.8107,-73.1216,River/Stream,Total Records: 6196
14178,53,CT6905-00_01,East Branch Naugatuck River,upstream East Pearl Street,TORRINGTON,Connecticut,6905 - East Branch Naugatuck River - Naugatuck - Housatonic,41.8061,-73.1184,River/Stream,Total Records: 6196
14179,54,CT6905-00_01,East Branch Naugatuck River,downstream Franklin Drive,TORRINGTON,Connecticut,6905 - East Branch Naugatuck River - Naugatuck - Housatonic,41.797345,-73.115842,River/Stream,Total Records: 6196
14180,55,UNKNOWN,Crystal Lake,at deepest part of lake,MIDDLETOWN,Connecticut,4013 - Sumner Brook - Connecticut Main Stem - Connecticut,41.524,-72.639,Reservoir,Total Records: 6196
14181,56,CT6502-00_03,East Aspetuck River,upstream Waramug treatment plant off Flirtation Ave,WASHINGTON,Connecticut,6502 - East Aspetuck River - Aspetuck - Housatonic,41.6823,-73.3539,River/Stream,Total Records: 6196
14182,57,CT6502-00_03,East Aspetuck River,downstream Waramug treatment plant off Flirtation Ave,WASHINGTON,Connecticut,6502 - East Aspetuck River - Aspetuck - Housatonic,41.6817,-73.354,River/Stream,Total Records: 6196
14183,58,CT6502-00_02,East Aspetuck River,upstream Wellsville Road,NEW MILFORD,Connecticut,6502 - East Aspetuck River - Aspetuck - Housatonic,41.5979,-73.4152,River/Stream,Total Records: 6196
14184,59,NOSEG,East Swamp Brook,downstream Plumtrees Road,BETHEL,Connecticut,6605 - East Swamp Brook - Still - Housatonic,41.3859,-73.3984,River/Stream,Total Records: 6196
14185,60,NOSEG,Echo Lake Brook,upstream Echo Lake,WATERTOWN,Connecticut,6912 - Steele Brook - Naugatuck - Housatonic,41.6046,-73.0971,River/Stream,Total Records: 6196
14186,61,CT6023-00_01,Eightmile Brook,upstream Loughlin Road,OXFORD,Connecticut,6023 - Eightmile Brook - Housatonic Main Stem - Housatonic,41.3885,-73.1648,River/Stream,Total Records: 6196
14187,62,CT4800-00_01,Eightmile River,downstream Route 156 upstream confluence,LYME,Connecticut,4800 - Eightmile River - Eightmile - Connecticut,41.4312,-72.3376,River/Stream,Total Records: 6196
14188,63,CT5201-00_01,Eightmile River,downstream Marion Avenue,SOUTHINGTON,Connecticut,5201 - Eightmile River - Quinnipiac - South Central Coast,41.588,-72.8977,River/Stream,Total Records: 6196
14189,64,CT5201-00_01,Eightmile River,downstream Jude Lane,SOUTHINGTON,Connecticut,5201 - Eightmile River - Quinnipiac - South Central Coast,41.6066,-72.9042,River/Stream,Total Records: 6196
14190,65,CT5201-00_02,Eightmile River,downstream Welch Road,SOUTHINGTON,Connecticut,5201 - Eightmile River - Quinnipiac - South Central Coast,41.6334,-72.9176,River/Stream,Total Records: 6196
14191,66,CT6005-00_02,Factory Brook,upstream R.R. crossing,SALISBURY,Connecticut,6005 - Factory Brook - Housatonic Main Stem - Housatonic,41.9639,-73.4396,River/Stream,Total Records: 6196
14192,67,CT6005-00_01,Factory Brook,downstream 50-350 feet discharge POTW,SALISBURY,Connecticut,6005 - Factory Brook - Housatonic Main Stem - Housatonic,41.967,-73.4264,River/Stream,Total Records: 6196
14193,68,CT5112-00_03,Farm River,downstream Route 22 at Masonic Temple,NORTH BRANFORD,Connecticut,5112 - Farm River - South Central Eastern Complex - South Central Coast,41.3818,-72.7941,River/Stream,Total Records: 6196
14194,69,CT5112-00_02,Farm River,downstream Totoket Road,NORTH BRANFORD,Connecticut,5112 - Farm River - South Central Eastern Complex - South Central Coast,41.3331,-72.8153,River/Stream,Total Records: 6196
14195,70,CT6025-00_02,Farmill River,upstream Route 110,STRATFORD,Connecticut,6025 - Farmill River - Housatonic Main Stem - Housatonic,41.2591,-73.0979,River/Stream,Total Records: 6196
14196,71,CT6025-00_02,Farmill River,downstream Route 8 at old bridge,SHELTON,Connecticut,6025 - Farmill River - Housatonic Main Stem - Housatonic,41.273,-73.1129,River/Stream,Total Records: 6196
14197,72,CT4300-00_03,FARMINGTON RIVER,adjacent Route 4 at Apricots Restaurant,FARMINGTON,Connecticut,4300 - Farmington River - Farmington - Connecticut,41.7508,-72.8717,River/Stream,Total Records: 6196
14198,73,CT4300-00_02,FARMINGTON RIVER,upstream Old Farms Road,AVON,Connecticut,4300 - Farmington River - Farmington - Connecticut,41.7723,-72.822,River/Stream,Total Records: 6196
14199,74,CT3207-00_02,Fenton River,adjacent Daleville Road,WILLINGTON,Connecticut,3207 - Fenton River - Natchaug - Thames,41.863,-72.2402,River/Stream,Total Records: 6196
14200,75,CT3207-00_02,Fenton River,downstream Route 44,WILLINGTON,Connecticut,3207 - Fenton River - Natchaug - Thames,41.8727,-72.2416,River/Stream,Total Records: 6196
14201,76,CT7401-00_03,Five Mile River,downstream Lakeview Avenue,NEW CANAAN,Connecticut,7401 - Fivemile River - Southwest Western Complex - Southwest Coast,41.1418,-73.4833,River/Stream,Total Records: 6196
14202,77,CT7401-00_02,Five Mile River,under Old Norwalk Road,NEW CANAAN,Connecticut,7401 - Fivemile River - Southwest Western Complex - Southwest Coast,41.1365,-73.4793,River/Stream,Total Records: 6196
14203,78,CT7401-00_03,Five Mile River,upstream East Street (Route 106),NEW CANAAN,Connecticut,7401 - Fivemile River - Southwest Western Complex - Southwest Coast,41.1478,-73.4835,River/Stream,Total Records: 6196
14204,79,CT3400-00_02,Fivemile River,downstream Route 101,KILLINGLY,Connecticut,3400 - Fivemile River - Fivemile - Thames,41.846,-71.8902,River/Stream,Total Records: 6196
14205,80,CT3400-00_02,Fivemile River,downstream 500 meters Route 101,KILLINGLY,Connecticut,3400 - Fivemile River - Fivemile - Thames,41.8451,-71.8912,River/Stream,Total Records: 6196
14206,81,CT3300-00_01,French River,adjacent Route 12,THOMPSON,Connecticut,3300 - French River - French - Thames,41.9548,-71.884,River/Stream,Total Records: 6196
14207,82,CT3300-00_02,French River,upstream Langers Pond,THOMPSON,Connecticut,3300 - French River - French - Thames,42.0248,-71.8843,River/Stream,Total Records: 6196
14208,83,CT3300-00_01,French River,at RR bridge adjacent to Reardon Road,THOMPSON,Connecticut,3300 - French River - French - Thames,41.9735,-71.8998,River/Stream,Total Records: 6196
14209,84,CT6915-00_01,Fulling Mill Brook,upstream North Main Street,NAUGATUCK,Connecticut,6915 - Fulling Mill Brook - Naugatuck - Housatonic,41.5021,-73.0471,River/Stream,Total Records: 6196
14210,85,NOSEG,Fulling Mill Brook,downstream Maple Hill Road,NAUGATUCK,Connecticut,6915 - Fulling Mill Brook - Naugatuck - Housatonic,41.5048,-73.0232,River/Stream,Total Records: 6196
14211,86,NOSEG,Fulling Mill Brook,upstream Maple Hill Road,NAUGATUCK,Connecticut,6915 - Fulling Mill Brook - Naugatuck - Housatonic,41.5048,-73.0222,River/Stream,Total Records: 6196
14212,87,CT6915-00_01,Fulling Mill Brook,across Spring Lake Road (Union City Road) & Route 68,NAUGATUCK,Connecticut,6915 - Fulling Mill Brook - Naugatuck - Housatonic,41.5056,-73.0315,River/Stream,Total Records: 6196
14213,88,CT3103-00_02,Furnace Brook,downstream Riverside Pond,STAFFORD,Connecticut,3103 - Furnace Brook - Willimantic - Thames,41.9854,-72.2902,River/Stream,Total Records: 6196
14214,89,CT3103-00_02,Furnace Brook,upstream Orcuttville Road,STAFFORD,Connecticut,3103 - Furnace Brook - Willimantic - Thames,41.9841,-72.2947,River/Stream,Total Records: 6196
14215,90,CT3103-00_02,Furnace Brook,downstream Glenville Pond,STAFFORD,Connecticut,3103 - Furnace Brook - Willimantic - Thames,41.9679,-72.2979,River/Stream,Total Records: 6196
14216,91,CT6900-22_01,Great Brook,at mouth (off West Liberty St.),WATERBURY,Connecticut,6900 - Naugatuck River - Naugatuck - Housatonic,41.547,-73.0423,River/Stream,Total Records: 6196
14217,92,NOSEG,Gulf Stream,downstream Park Ave at Mouth,TORRINGTON,Connecticut,6900 - Naugatuck River - Naugatuck - Housatonic,41.7909,-73.1177,River/Stream,Total Records: 6196
14218,93,NOSEG,Hamlin Pond,adjacent Woodford Avenue,PLAINVILLE,Connecticut,5200 - Quinnipiac River - Quinnipiac - South Central Coast,41.6711,-72.847,Lake,Total Records: 6196
14219,94,CT5106-00_02,Hammonasset River,at Old County Road,KILLINGWORTH,Connecticut,5106 - Hammonasset River - South Central Eastern Complex - South Central Coast,41.4125,-72.6328,River/Stream,Total Records: 6196
14220,95,CT5106-00_02,Hammonasset River,upstream Bunnell Road,KILLINGWORTH,Connecticut,5106 - Hammonasset River - South Central Eastern Complex - South Central Coast,41.3882,-72.6149,River/Stream,Total Records: 6196
14221,96,CT5106-00_01,Hammonasset River,Adjacent Summer Hill Road (US Chestnut Hill Rd),MADISON,Connecticut,5106 - Hammonasset River - South Central Eastern Complex - South Central Coast,41.3278,-72.6116,River/Stream,Total Records: 6196
14222,97,CT6911-00_01,Hancock Brook,near Mouth upstream RR bridge,WATERBURY,Connecticut,6911 - Hancock Brook - Naugatuck - Housatonic,41.5799,-73.0497,River/Stream,Total Records: 6196
14223,98,CT6911-00_01,Hancock Brook,downstream Bridge in Waterville Park,WATERBURY,Connecticut,6911 - Hancock Brook - Naugatuck - Housatonic,41.5885,-73.0503,River/Stream,Total Records: 6196
14224,99,CT5200-00-4-L2_01,Hanover Pond,adjacent Oregon Road,MERIDEN,Connecticut,5200 - Quinnipiac River - Quinnipiac - South Central Coast,41.5236,-72.8342,Lake,Total Records: 6196
14225,100,CT5200-00-4-L2_01,Hanover Pond,adjacent Hanover Street,MERIDEN,Connecticut,5200 - Quinnipiac River - Quinnipiac - South Central Coast,41.521,-72.8257,Lake,Total Records: 6196
14226,101,CT5206-00_01,Harbor Brook,upstream Coe Avenue,MERIDEN,Connecticut,5206 - Harbor Brook - Quinnipiac - South Central Coast,41.5314,-72.8218,River/Stream,Total Records: 6196
14227,102,NOSEG,Hemp Swamp Brook,downstream Emmissons testing Road,BEACON FALLS,Connecticut,6900 - Naugatuck River - Naugatuck - Housatonic,41.4294,-73.0766,River/Stream,Total Records: 6196
14228,103,CT4605-01,Hersig Brook,adjacent Korn School,DURHAM,Connecticut,4605 - Allyn Brook - Mattabesset - Connecticut,41.4777,-72.672,River/Stream,Total Records: 6196
14229,104,CT6900-28_01,Hockanum Brook,Bethany Road,BEACON FALLS,Connecticut,6900 - Naugatuck River - Naugatuck - Housatonic,41.4373,-73.051,River/Stream,Total Records: 6196
14230,105,CT6900-28_01,Hockanum Brook,upstream South Main Street Near JCT Route 42,BEACON FALLS,Connecticut,6900 - Naugatuck River - Naugatuck - Housatonic,41.4366,-73.0593,River/Stream,Total Records: 6196
14231,106,CT4500-00_01,Hockanum River,In Lake,EAST HARTFORD,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.7662,-72.6392,River/Stream,Total Records: 6196
14232,107,CT4500-00_01,Hockanum River,In Lake,EAST HARTFORD,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.7666,-72.635,River/Stream,Total Records: 6196
14233,108,CT4500-00-3-L3_01,Hockanum River,In Lake Union Pond,MANCHESTER,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8051,-72.5219,River/Stream,Total Records: 6196
14234,109,CT4500-00_02,Hockanum River,In lake Scotland Impoundment,EAST HARTFORD,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.7759,-72.6027,River/Stream,Total Records: 6196
14235,110,CT4500-00_02,Hockanum River,downstream Walnut Street,EAST HARTFORD,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.7822,-72.5912,River/Stream,Total Records: 6196
14236,111,CT4500-00_06b,Hockanum River,downstream Vernon Avenue,VERNON,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8647,-72.4517,River/Stream,Total Records: 6196
14237,112,CT4500-00_03,Hockanum River,downstream New State Street,MANCHESTER,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.7859,-72.5569,River/Stream,Total Records: 6196
14238,113,CT4500-00_06a,Hockanum River,upstream Lower Butcher Road,ELLINGTON,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8758,-72.4743,River/Stream,Total Records: 6196
14239,114,CT4500-00_06a,Hockanum River,upstream Vernon STP,VERNON,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8659,-72.487,River/Stream,Total Records: 6196
14240,115,CT4500-00_05,Hockanum River,upstream Werner Road,VERNON,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8585,-72.4916,River/Stream,Total Records: 6196
14241,116,CT4500-00_05,Hockanum River,upstream Dart Hill Road,VERNON,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8503,-72.4878,River/Stream,Total Records: 6196
14242,117,CT4500-00_04b,Hockanum River,upstream 100 meters confluence with Tankerhoosen River,VERNON,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8195,-72.5035,River/Stream,Total Records: 6196
14243,118,CT4500-00_04a,Hockanum River,adjacent Route 83,MANCHESTER,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.8107,-72.5176,River/Stream,Total Records: 6196
14244,119,CT4500-00_03,Hockanum River,upstream Adams Street,MANCHESTER,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.7883,-72.5503,River/Stream,Total Records: 6196
14245,120,CT4500-00_02,Hockanum River,at USGS gage upstream of Walnut Street,EAST HARTFORD,Connecticut,4500 - Hockanum River - Hockanum - Connecticut,41.7822,-72.5916,River/Stream,Total Records: 6196
14246,121,CT6200-00_01,Hollenbeck River,at Route 126 & R.R tracks,CANAAN,Connecticut,6200 - Hollenbeck River - Hollenbeck - Housatonic,41.9756,-73.3572,River/Stream,Total Records: 6196
14247,122,CT6200-00_01,Hollenbeck River,at Cobble Road,CANAAN,Connecticut,6200 - Hollenbeck River - Hollenbeck - Housatonic,41.9431,-73.3058,River/Stream,Total Records: 6196
14248,123,CT6916-00_01,Hop Brook,at RR bridge Naug Glass,NAUGATUCK,Connecticut,6916 - Hop Brook - Naugatuck - Housatonic,41.4987,-73.0537,River/Stream,Total Records: 6196
14249,124,CT4504-00_01,South Fork Hockanum River,at Olcott Road,MANCHESTER,Connecticut,4504 - South Fork Hockanum River - Hockanum - Connecticut,41.773,-72.5569,River/Stream,Total Records: 6196
14250,125,CT4504-00_01,South Fork Hockanum River,upstream discharge POTW Rd,MANCHESTER,Connecticut,4504 - South Fork Hockanum River - Hockanum - Connecticut,41.7767,-72.5612,River/Stream,Total Records: 6196
14251,126,CT6000-00_06,Housatonic River,at dirt road North of Route 128,CORNWALL,Connecticut,6000 - Housatonic River - Housatonic Main Stem - Housatonic,41.8806,-73.3654,River/Stream,Total Records: 6196
14252,127,CT6000-00_06,Housatonic River,upstream 0.25 miles Housatonic Meadows State Park,CORNWALL,Connecticut,6000 - Housatonic River - Housatonic Main Stem - Housatonic,41.828,-73.3815,River/Stream,Total Records: 6196
14253,128,UNKNOWN,Pickerel Lake,at deepest part of lake,COLCHESTER,Connecticut,4710 - Moodus River - Salmon - Connecticut,41.5257,-72.4203,Reservoir,Total Records: 6196
14254,129,CT6000-00_06,Housatonic River,North 1.5 miles Route 128,CORNWALL,Connecticut,6000 - Housatonic River - Housatonic Main Stem - Housatonic,41.8906,-73.3576,River/Stream,Total Records: 6196
14255,130,CT6000-00_06,Housatonic River,adjacent thru corn field,SALISBURY,Connecticut,6000 - Housatonic River - Housatonic Main Stem - Housatonic,41.9554,-73.3696,River/Stream,Total Records: 6196
14256,131,CT4007-00_01,Hubbard Brook,upstream 200 meters Route 2 West crossing,GLASTONBURY,Connecticut,4007 - Hubbard Brook - Connecticut Main Stem - Connecticut,41.7082,-72.5803,River/Stream,Total Records: 6196
14257,132,CT4007-00_01,Hubbard Brook,downstream 50 meters Route 2 East crossing,GLASTONBURY,Connecticut,4007 - Hubbard Brook - Connecticut Main Stem - Connecticut,41.7089,-72.5843,River/Stream,Total Records: 6196
14258,133,CT4007-00_01,"Hubbard Brook, Wetland tributary to",in outlet 10 m upstream Route 2 West crossing,GLASTONBURY,Connecticut,4007 - Hubbard Brook - Connecticut Main Stem - Connecticut,41.7097,-72.5828,Wetland Undifferentiated,Total Records: 6196
14259,134,NOSEG,Humiston Brook,Off Dirt road  East County Road,WOLCOTT,Connecticut,5202 - Tenmile River - Quinnipiac - South Central Coast,41.5938,-72.9519,River/Stream,Total Records: 6196
14260,135,CT4705-00_01,Jeremy River,downstream Route 149,COLCHESTER,Connecticut,4705 - Jeremy River - Salmon - Connecticut,41.5799,-72.4028,River/Stream,Total Records: 6196
14261,136,CT3900-07_02,Kahn Brook,upstream Koskoff/Hillandale Farm,BOZRAH,Connecticut,3900 - Yantic River - Yantic - Thames,41.5791,-72.1661,River/Stream,Total Records: 6196
14262,137,CT3900-07_01,Kahn Brook,downstream Farm Buildings,BOZRAH,Connecticut,3900 - Yantic River - Yantic - Thames,41.5718,-72.1685,River/Stream,Total Records: 6196
14263,138,CT3900-07_01,Kahn Brook,upstream Schwartz Road,BOZRAH,Connecticut,3900 - Yantic River - Yantic - Thames,41.5681,-72.1702,River/Stream,Total Records: 6196
