STA_SEQ,Field_Accession,Field_Activity_Date,SampleYr,Pass_Count,Reach_Length,Reach_Length_UOM,OTU,IsStocked,SumOfResult_Value,FishPer100M,Use
14212,2014530_FISH,16-Jul-14,2014,1,64,m,Rhinichthys cataractae,FALSE,11,17.1875,1
14212,2014530_FISH,16-Jul-14,2014,1,64,m,Salmo trutta,TRUE,1,1.5625,1
14212,2014530_FISH,16-Jul-14,2014,1,64,m,Salmo trutta,FALSE,21,32.8125,1
14212,2014530_FISH,16-Jul-14,2014,1,64,m,Salvelinus fontinalis,FALSE,3,4.6875,1
14212,2016579_FISH,26-Aug-16,2016,1,64,m,Catostomus commersonii,FALSE,1,1.5625,1
14212,2016579_FISH,26-Aug-16,2016,1,64,m,Lepomis macrochirus,FALSE,1,1.5625,1
14212,2016579_FISH,26-Aug-16,2016,1,64,m,Micropterus salmoides,FALSE,1,1.5625,1
14212,2016579_FISH,26-Aug-16,2016,1,64,m,Rhinichthys atratulus,FALSE,78,121.875,1
14212,2016579_FISH,26-Aug-16,2016,1,64,m,Rhinichthys cataractae,FALSE,4,6.25,1
14212,2016579_FISH,26-Aug-16,2016,1,64,m,Salmo trutta,FALSE,23,35.9375,1
14212,2016579_FISH,26-Aug-16,2016,1,64,m,Salvelinus fontinalis,FALSE,11,17.1875,1
14227,19281,17-Sep-91,1991,1,50,m,Catostomus commersonii,FALSE,20,40,1
14227,19281,17-Sep-91,1991,1,50,m,Micropterus salmoides,FALSE,13,26,1
14227,19281,17-Sep-91,1991,1,50,m,Rhinichthys cataractae,FALSE,49,98,1
14227,19281,17-Sep-91,1991,1,50,m,Salvelinus fontinalis,FALSE,36,72,1
14227,25135,24-Jun-11,2011,1,150,m,Catostomus commersonii,FALSE,3,2,1
14227,25135,24-Jun-11,2011,1,150,m,Lepomis macrochirus,FALSE,4,2.666666667,1
14227,25135,24-Jun-11,2011,1,150,m,Micropterus salmoides,FALSE,1,0.666666667,1
14227,25135,24-Jun-11,2011,1,150,m,Rhinichthys atratulus,FALSE,121,80.66666667,1
14227,25135,24-Jun-11,2011,1,150,m,Rhinichthys cataractae,FALSE,30,20,1
14227,25135,24-Jun-11,2011,1,150,m,Salvelinus fontinalis,FALSE,8,5.333333333,1
14227,25135,24-Jun-11,2011,1,150,m,Semotilus atromaculatus,FALSE,13,8.666666667,1
14263,2014015_FISH,19-Jun-14,2014,1,131,m,Rhinichthys atratulus,FALSE,152,116.0305344,1
14263,2014015_FISH,19-Jun-14,2014,1,131,m,Salvelinus fontinalis,FALSE,15,11.45038168,1
14263,26156,2-Jul-07,2007,1,50,m,Catostomus commersonii,FALSE,3,6,1
14263,26156,2-Jul-07,2007,1,50,m,Etheostoma olmstedi,FALSE,2,4,1
14263,26156,2-Jul-07,2007,1,50,m,Pimephales promelas,FALSE,1,2,1
14263,26156,2-Jul-07,2007,1,50,m,Rhinichthys atratulus,FALSE,56,112,1
14263,26156,2-Jul-07,2007,1,50,m,Rhinichthys cataractae,FALSE,2,4,1
14263,26156,2-Jul-07,2007,1,50,m,Salmo trutta,FALSE,56,112,1
14263,26156,2-Jul-07,2007,1,50,m,Salvelinus fontinalis,FALSE,11,22,1
14263,26156,2-Jul-07,2007,1,50,m,Semotilus corporalis,FALSE,1,2,1
14263,26803,29-Jun-12,2012,1,65,m,Ameiurus nebulosus,FALSE,2,3.076923077,1
14263,26803,29-Jun-12,2012,1,65,m,Catostomus commersonii,FALSE,138,212.3076923,1
14263,26803,29-Jun-12,2012,1,65,m,Lepomis gibbosus,FALSE,1,1.538461538,1
14263,26803,29-Jun-12,2012,1,65,m,Lepomis macrochirus,FALSE,1,1.538461538,1
14263,26803,29-Jun-12,2012,1,65,m,Notemigonus crysoleucas,FALSE,1,1.538461538,1
14263,26803,29-Jun-12,2012,1,65,m,Pimephales promelas,FALSE,24,36.92307692,1
14263,26803,29-Jun-12,2012,1,65,m,Rhinichthys atratulus,FALSE,117,180,1
14263,26803,29-Jun-12,2012,1,65,m,Salvelinus fontinalis,TRUE,1,1.538461538,1
14263,26803,29-Jun-12,2012,1,65,m,Salvelinus fontinalis,FALSE,22,33.84615385,1
14263,26803,29-Jun-12,2012,1,65,m,Semotilus atromaculatus,FALSE,1,1.538461538,1
14263,3072,18-Jul-01,2001,1,73,m,Catostomus commersonii,FALSE,3,4.109589041,1
14263,3072,18-Jul-01,2001,1,73,m,Lepomis gibbosus,FALSE,15,20.54794521,1
14263,3072,18-Jul-01,2001,1,73,m,Notemigonus crysoleucas,FALSE,5,6.849315068,1
14263,3072,18-Jul-01,2001,1,73,m,Rhinichthys atratulus,FALSE,1,1.369863014,1
14263,3072,18-Jul-01,2001,1,73,m,Salmo trutta,TRUE,1,1.369863014,1
14263,3072,18-Jul-01,2001,1,73,m,Salvelinus fontinalis,FALSE,1,1.369863014,1
14270,19019,18-Sep-89,1989,1,150,m,Anguilla rostrata,FALSE,60,40,1
14270,19019,18-Sep-89,1989,1,150,m,Catostomus commersonii,FALSE,7,4.666666667,1
14270,19019,18-Sep-89,1989,1,150,m,Esox americanus,FALSE,1,0.666666667,1
14270,19019,18-Sep-89,1989,1,150,m,Lepomis gibbosus,FALSE,1,0.666666667,1
14270,19019,18-Sep-89,1989,1,150,m,Lepomis macrochirus,FALSE,28,18.66666667,1
14270,19019,18-Sep-89,1989,1,150,m,Micropterus salmoides,FALSE,2,1.333333333,1
14270,19019,18-Sep-89,1989,1,150,m,Petromyzon marinus,FALSE,2,1.333333333,1
14270,19019,18-Sep-89,1989,1,150,m,Rhinichthys atratulus,FALSE,1,0.666666667,1
14270,19019,18-Sep-89,1989,1,150,m,Rhinichthys cataractae,FALSE,11,7.333333333,1
14270,19019,18-Sep-89,1989,1,150,m,Salmo trutta,TRUE,12,8,1
14270,19019,18-Sep-89,1989,1,150,m,Salmo trutta,FALSE,94,62.66666667,1
14270,19019,18-Sep-89,1989,1,150,m,Salvelinus fontinalis,TRUE,1,0.666666667,1
14270,19019,18-Sep-89,1989,1,150,m,Salvelinus fontinalis,FALSE,4,2.666666667,1
14270,19019,18-Sep-89,1989,1,150,m,Umbra limi,FALSE,1,0.666666667,1
14270,26416,13-Aug-10,2010,1,50,m,Anguilla rostrata,FALSE,13,26,1
14270,26416,13-Aug-10,2010,1,50,m,Catostomus commersonii,FALSE,12,24,1
14270,26416,13-Aug-10,2010,1,50,m,Esox americanus,FALSE,2,4,1
14270,26416,13-Aug-10,2010,1,50,m,Lepomis gibbosus,FALSE,1,2,1
14270,26416,13-Aug-10,2010,1,50,m,Rhinichthys atratulus,FALSE,7,14,1
14270,26416,13-Aug-10,2010,1,50,m,Salmo trutta,FALSE,25,50,1
14270,26416,13-Aug-10,2010,1,50,m,Salvelinus fontinalis,FALSE,9,18,1
14270,26416,13-Aug-10,2010,1,50,m,Umbra limi,FALSE,1,2,1
14294,19552,19-Jul-93,1993,1,150,m,Anguilla rostrata,FALSE,2,1.333333333,1
14294,19552,19-Jul-93,1993,1,150,m,Catostomus commersonii,FALSE,35,23.33333333,1
14294,19552,19-Jul-93,1993,1,150,m,Cyprinidae,FALSE,9,6,1
14294,19552,19-Jul-93,1993,1,150,m,Erimyzon oblongus,FALSE,7,4.666666667,1
14294,19552,19-Jul-93,1993,1,150,m,Esox niger,FALSE,1,0.666666667,1
14294,19552,19-Jul-93,1993,1,150,m,Etheostoma olmstedi,FALSE,53,35.33333333,1
14294,19552,19-Jul-93,1993,1,150,m,Lepomis gibbosus,FALSE,2,1.333333333,1
14294,19552,19-Jul-93,1993,1,150,m,Micropterus salmoides,FALSE,15,10,1
14294,19552,19-Jul-93,1993,1,150,m,Notemigonus crysoleucas,FALSE,2,1.333333333,1
14294,19552,19-Jul-93,1993,1,150,m,Perca flavescens,FALSE,2,1.333333333,1
14294,19552,19-Jul-93,1993,1,150,m,Rhinichthys atratulus,FALSE,1,0.666666667,1
14294,19552,19-Jul-93,1993,1,150,m,Salvelinus fontinalis,TRUE,1,0.666666667,1
14294,19552,19-Jul-93,1993,1,150,m,Salvelinus fontinalis,FALSE,14,9.333333333,1
14294,19552,19-Jul-93,1993,1,150,m,Semotilus corporalis,FALSE,42,28,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Catostomus commersonii,FALSE,1,1,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Esox niger,FALSE,14,14,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Etheostoma olmstedi,FALSE,38,38,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Lepomis macrochirus,FALSE,7,7,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Micropterus salmoides,FALSE,4,4,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Rhinichthys cataractae,FALSE,4,4,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Salvelinus fontinalis,TRUE,1,1,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Salvelinus fontinalis,FALSE,13,13,1
14294,2014579_FISH,19-Aug-14,2014,1,100,m,Semotilus corporalis,FALSE,6,6,1
14355,19207,17-Jul-91,1991,1,150,m,Ameiurus nebulosus,FALSE,2,1.333333333,1
14355,19207,17-Jul-91,1991,1,150,m,Anguilla rostrata,FALSE,2,1.333333333,1
14355,19207,17-Jul-91,1991,1,150,m,Catostomus commersonii,FALSE,162,108,1
14355,19207,17-Jul-91,1991,1,150,m,Cyprinidae,FALSE,22,14.66666667,1
14355,19207,17-Jul-91,1991,1,150,m,Etheostoma olmstedi,FALSE,147,98,1
14355,19207,17-Jul-91,1991,1,150,m,Fundulus diaphanus,FALSE,9,6,1
14355,19207,17-Jul-91,1991,1,150,m,Lepomis gibbosus,FALSE,14,9.333333333,1
14355,19207,17-Jul-91,1991,1,150,m,Lepomis macrochirus,FALSE,51,34,1
14355,19207,17-Jul-91,1991,1,150,m,Luxilus cornutus,FALSE,174,116,1
14355,19207,17-Jul-91,1991,1,150,m,Micropterus salmoides,FALSE,33,22,1
14355,19207,17-Jul-91,1991,1,150,m,Notemigonus crysoleucas,FALSE,2,1.333333333,1
14355,19207,17-Jul-91,1991,1,150,m,Perca flavescens,FALSE,1,0.666666667,1
14355,19207,17-Jul-91,1991,1,150,m,Rhinichthys atratulus,FALSE,115,76.66666667,1
14355,19207,17-Jul-91,1991,1,150,m,Rhinichthys cataractae,FALSE,128,85.33333333,1
14355,19207,17-Jul-91,1991,1,150,m,Salmo trutta,TRUE,6,4,1
14355,19207,17-Jul-91,1991,1,150,m,Salmo trutta,FALSE,19,12.66666667,1
14355,19207,17-Jul-91,1991,1,150,m,Salvelinus fontinalis,FALSE,12,8,1
14355,19207,17-Jul-91,1991,1,150,m,Semotilus atromaculatus,FALSE,90,60,1
14355,19207,17-Jul-91,1991,1,150,m,Semotilus corporalis,FALSE,97,64.66666667,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Ameiurus nebulosus,FALSE,1,0.751879699,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Catostomus commersonii,FALSE,217,163.1578947,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Cottus cognatus,FALSE,139,104.5112782,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Cyprinidae,FALSE,20,15.03759398,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Etheostoma olmstedi,FALSE,11,8.270676692,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Lepomis macrochirus,FALSE,5,3.759398496,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Luxilus cornutus,FALSE,16,12.03007519,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Micropterus salmoides,FALSE,7,5.263157895,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Notemigonus crysoleucas,FALSE,2,1.503759398,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Oncorhynchus mykiss,TRUE,1,0.751879699,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Rhinichthys atratulus,FALSE,174,130.8270677,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Rhinichthys cataractae,FALSE,8,6.015037594,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Salmo trutta,FALSE,5,3.759398496,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Salvelinus fontinalis,FALSE,1,0.751879699,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Semotilus atromaculatus,FALSE,102,76.69172932,1
14355,2016041_FISH,14-Jul-16,2016,1,133,m,Semotilus corporalis,FALSE,3,2.255639098,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Anguilla rostrata,FALSE,1,0.847457627,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Catostomus commersonii,FALSE,39,33.05084746,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Cottus cognatus,FALSE,1,0.847457627,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Cyprinidae,FALSE,1,0.847457627,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Etheostoma olmstedi,FALSE,5,4.237288136,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Lepomis gibbosus,FALSE,2,1.694915254,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Lepomis macrochirus,FALSE,3,2.542372881,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Luxilus cornutus,FALSE,2,1.694915254,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Micropterus salmoides,FALSE,5,4.237288136,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Rhinichthys atratulus,FALSE,224,189.8305085,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Rhinichthys cataractae,FALSE,132,111.8644068,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Salmo trutta,FALSE,27,22.88135593,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Salvelinus fontinalis,FALSE,1,0.847457627,1
14355,2018028_FISH,20-Jul-18,2018,1,118,m,Semotilus atromaculatus,FALSE,16,13.55932203,1
14355,25041,10-Jun-11,2011,1,195,m,Catostomus commersonii,FALSE,41,21.02564103,1
14355,25041,10-Jun-11,2011,1,195,m,Cottus cognatus,FALSE,2,1.025641026,1
14355,25041,10-Jun-11,2011,1,195,m,Etheostoma olmstedi,FALSE,20,10.25641026,1
14355,25041,10-Jun-11,2011,1,195,m,Lepomis gibbosus,FALSE,3,1.538461538,1
14355,25041,10-Jun-11,2011,1,195,m,Lepomis macrochirus,FALSE,3,1.538461538,1
14355,25041,10-Jun-11,2011,1,195,m,Luxilus cornutus,FALSE,3,1.538461538,1
14355,25041,10-Jun-11,2011,1,195,m,Micropterus salmoides,FALSE,2,1.025641026,1
14355,25041,10-Jun-11,2011,1,195,m,Notemigonus crysoleucas,FALSE,2,1.025641026,1
14355,25041,10-Jun-11,2011,1,195,m,Oncorhynchus mykiss,TRUE,1,0.512820513,1
14355,25041,10-Jun-11,2011,1,195,m,Rhinichthys atratulus,FALSE,87,44.61538462,1
14355,25041,10-Jun-11,2011,1,195,m,Rhinichthys cataractae,FALSE,16,8.205128205,1
14355,25041,10-Jun-11,2011,1,195,m,Salmo trutta,TRUE,2,1.025641026,1
14355,25041,10-Jun-11,2011,1,195,m,Salmo trutta,FALSE,22,11.28205128,1
14355,25041,10-Jun-11,2011,1,195,m,Salvelinus fontinalis,FALSE,2,1.025641026,1
14355,25041,10-Jun-11,2011,1,195,m,Semotilus atromaculatus,FALSE,56,28.71794872,1
14355,25041,10-Jun-11,2011,1,195,m,Semotilus corporalis,FALSE,5,2.564102564,1
14355,8350,22-Jun-06,2006,1,148,m,Anguilla rostrata,FALSE,1,0.675675676,1
14355,8350,22-Jun-06,2006,1,148,m,Catostomus commersonii,FALSE,121,81.75675676,1
14355,8350,22-Jun-06,2006,1,148,m,Etheostoma olmstedi,FALSE,14,9.459459459,1
14355,8350,22-Jun-06,2006,1,148,m,Luxilus cornutus,FALSE,17,11.48648649,1
14355,8350,22-Jun-06,2006,1,148,m,Oncorhynchus mykiss,TRUE,6,4.054054054,1
14355,8350,22-Jun-06,2006,1,148,m,Rhinichthys atratulus,FALSE,80,54.05405405,1
14355,8350,22-Jun-06,2006,1,148,m,Rhinichthys cataractae,FALSE,39,26.35135135,1
14355,8350,22-Jun-06,2006,1,148,m,Salmo,TRUE,19,12.83783784,1
14355,8350,22-Jun-06,2006,1,148,m,Salmo trutta,TRUE,15,10.13513514,1
14355,8350,22-Jun-06,2006,1,148,m,Salvelinus fontinalis,TRUE,1,0.675675676,1
14355,8350,22-Jun-06,2006,1,148,m,Semotilus atromaculatus,FALSE,12,8.108108108,1
14355,8350,22-Jun-06,2006,1,148,m,Semotilus corporalis,FALSE,3,2.027027027,1
14402,12724,16-Jun-08,2008,1,150,m,Ameiurus nebulosus,FALSE,1,0.666666667,1
14402,12724,16-Jun-08,2008,1,150,m,Catostomus commersonii,FALSE,22,14.66666667,1
14402,12724,16-Jun-08,2008,1,150,m,Esox niger,FALSE,4,2.666666667,1
14402,12724,16-Jun-08,2008,1,150,m,Perca flavescens,FALSE,3,2,1
14402,12724,16-Jun-08,2008,1,150,m,Rhinichthys atratulus,FALSE,54,36,1
14402,12724,16-Jun-08,2008,1,150,m,Salvelinus fontinalis,FALSE,5,3.333333333,1
14402,12724,16-Jun-08,2008,1,150,m,Semotilus atromaculatus,FALSE,22,14.66666667,1
14402,18843,21-Jun-88,1988,1,147,m,Ameiurus nebulosus,FALSE,6,4.081632653,1
14402,18843,21-Jun-88,1988,1,147,m,Catostomus commersonii,FALSE,45,30.6122449,1
14402,18843,21-Jun-88,1988,1,147,m,Esox americanus,FALSE,3,2.040816327,1
14402,18843,21-Jun-88,1988,1,147,m,Perca flavescens,FALSE,3,2.040816327,1
14402,18843,21-Jun-88,1988,1,147,m,Rhinichthys atratulus,FALSE,87,59.18367347,1
14402,18843,21-Jun-88,1988,1,147,m,Salvelinus fontinalis,TRUE,1,0.680272109,1
14402,18843,21-Jun-88,1988,1,147,m,Salvelinus fontinalis,FALSE,8,5.442176871,1
14402,18843,21-Jun-88,1988,1,147,m,Semotilus atromaculatus,FALSE,26,17.68707483,1
14402,26781,21-Jun-12,2012,1,185,m,Catostomus commersonii,FALSE,39,21.08108108,1
14402,26781,21-Jun-12,2012,1,185,m,Esox niger,FALSE,9,4.864864865,1
14402,26781,21-Jun-12,2012,1,185,m,Lepomis gibbosus,FALSE,1,0.540540541,1
14402,26781,21-Jun-12,2012,1,185,m,Lepomis macrochirus,FALSE,9,4.864864865,1
14402,26781,21-Jun-12,2012,1,185,m,Micropterus salmoides,FALSE,2,1.081081081,1
14402,26781,21-Jun-12,2012,1,185,m,Notemigonus crysoleucas,FALSE,1,0.540540541,1
14402,26781,21-Jun-12,2012,1,185,m,Perca flavescens,FALSE,7,3.783783784,1
14402,26781,21-Jun-12,2012,1,185,m,Rhinichthys atratulus,FALSE,78,42.16216216,1
14402,26781,21-Jun-12,2012,1,185,m,Salvelinus fontinalis,FALSE,23,12.43243243,1
14402,26781,21-Jun-12,2012,1,185,m,Semotilus atromaculatus,FALSE,26,14.05405405,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Catostomus commersonii,FALSE,18,6,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Cottus cognatus,FALSE,1,0.333333333,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Etheostoma olmstedi,FALSE,12,4,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Lepomis cyanellus,FALSE,5,1.666666667,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Lepomis gibbosus,FALSE,2,0.666666667,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Lepomis macrochirus,FALSE,7,2.333333333,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Micropterus dolomieu,FALSE,1,0.333333333,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Micropterus salmoides,FALSE,2,0.666666667,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Oncorhynchus mykiss,TRUE,2,0.666666667,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Pimephales notatus,FALSE,1,0.333333333,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Rhinichthys atratulus,FALSE,83,27.66666667,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Rhinichthys cataractae,FALSE,1,0.333333333,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Salmo trutta,TRUE,1,0.333333333,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Salmo trutta,FALSE,35,11.66666667,1
14439,2013554_FISH,19-Aug-13,2013,1,300,m,Semotilus atromaculatus,FALSE,5,1.666666667,1
14439,25194,7-Jul-11,2011,1,138,m,Catostomus commersonii,FALSE,6,4.347826087,1
14439,25194,7-Jul-11,2011,1,138,m,Cottus cognatus,FALSE,15,10.86956522,1
14439,25194,7-Jul-11,2011,1,138,m,Etheostoma olmstedi,FALSE,8,5.797101449,1
14439,25194,7-Jul-11,2011,1,138,m,Lepomis cyanellus,FALSE,4,2.898550725,1
14439,25194,7-Jul-11,2011,1,138,m,Lepomis gibbosus,FALSE,3,2.173913043,1
14439,25194,7-Jul-11,2011,1,138,m,Rhinichthys atratulus,FALSE,108,78.26086957,1
14439,25194,7-Jul-11,2011,1,138,m,Rhinichthys cataractae,FALSE,86,62.31884058,1
14439,25194,7-Jul-11,2011,1,138,m,Salmo trutta,TRUE,7,5.072463768,1
14439,25194,7-Jul-11,2011,1,138,m,Salmo trutta,FALSE,16,11.5942029,1
14439,25194,7-Jul-11,2011,1,138,m,Salvelinus fontinalis,FALSE,2,1.449275362,1
14439,25194,7-Jul-11,2011,1,138,m,Semotilus atromaculatus,FALSE,6,4.347826087,1
14453,19150,17-Jun-91,1991,1,100,m,Catostomus commersonii,FALSE,1,1,1
14453,19150,17-Jun-91,1991,1,100,m,Rhinichthys atratulus,FALSE,22,22,1
14453,19150,17-Jun-91,1991,1,100,m,Rhinichthys cataractae,FALSE,29,29,1
14453,19150,17-Jun-91,1991,1,100,m,Salvelinus fontinalis,FALSE,41,41,1
14453,19150,17-Jun-91,1991,1,100,m,Semotilus atromaculatus,FALSE,4,4,1
14453,25136,24-Jun-11,2011,1,119,m,Catostomus commersonii,FALSE,14,11.76470588,1
14453,25136,24-Jun-11,2011,1,119,m,Rhinichthys atratulus,FALSE,27,22.68907563,1
14453,25136,24-Jun-11,2011,1,119,m,Rhinichthys cataractae,FALSE,5,4.201680672,1
14453,25136,24-Jun-11,2011,1,119,m,Salmo trutta,FALSE,1,0.840336134,1
14453,25136,24-Jun-11,2011,1,119,m,Semotilus atromaculatus,FALSE,4,3.361344538,1
14453,8750,26-Jul-06,2006,1,175,m,Catostomus commersonii,FALSE,2,1.142857143,1
14453,8750,26-Jul-06,2006,1,175,m,Rhinichthys atratulus,FALSE,17,9.714285714,1
14453,8750,26-Jul-06,2006,1,175,m,Rhinichthys cataractae,FALSE,1,0.571428571,1
14453,8750,26-Jul-06,2006,1,175,m,Salvelinus fontinalis,FALSE,5,2.857142857,1
14470,2013003_lf-FISH,17-Jun-13,2013,1,145,m,Catostomus commersonii,FALSE,2,1.379310345,1
14470,2013003_lf-FISH,17-Jun-13,2013,1,145,m,Etheostoma olmstedi,FALSE,2,1.379310345,1
14470,2013003_lf-FISH,17-Jun-13,2013,1,145,m,Oncorhynchus mykiss,TRUE,2,1.379310345,1
14470,2013003_lf-FISH,17-Jun-13,2013,1,145,m,Rhinichthys atratulus,FALSE,37,25.51724138,1
14470,2013003_lf-FISH,17-Jun-13,2013,1,145,m,Rhinichthys cataractae,FALSE,1,0.689655172,1
14470,2013003_lf-FISH,17-Jun-13,2013,1,145,m,Salmo trutta,TRUE,64,44.13793103,1
14470,2013003_lf-FISH,17-Jun-13,2013,1,145,m,Salvelinus fontinalis,FALSE,2,1.379310345,1
14470,2016008_FISH,9-Jun-16,2016,1,115,m,Catostomus commersonii,FALSE,32,27.82608696,1
14470,2016008_FISH,9-Jun-16,2016,1,115,m,Oncorhynchus mykiss,TRUE,1,0.869565217,1
