staSeq,locationName,Sample_Year,YearGrp,SumOfABUNDANCE,LAB_ID,CTDEEP LabID,Rep,Habitat,Device,Subsample Rep,LAB_NAME,TAXON_NAME,LIFE STAGE,ABUNDANCE,Sample_Date,TaxonNameCurrent,WQXTaxonName,VisitNum,BCG_Attribute,CTTempOptimaAvg,RegionalTempOptimaClass,RelAbund
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Stenelmis,L,1,06-Oct-08,Stenelmis,,,4,5.666666667,Warm,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Acroneuria abnormis,L,1,06-Oct-08,Acroneuria abnormis,,,3,4,Cool,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Stenacron interpunctatum,L,1,06-Oct-08,Stenacron interpunctatum,,,4,4,Warm,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Antocha,L,1,06-Oct-08,Antocha,,,5,5.666666667,Cool,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Macronychus glabratus,L,1,06-Oct-08,Macronychus glabratus,,,4,6.666666667,Cool,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Turbellaria,A,1,06-Oct-08,Turbellaria,,,4,6.666666667,Warm,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Cricotopus bicinctus,L,1,06-Oct-08,Cricotopus bicinctus,,,5.5,7,Warm,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Tvetenia vitracies group,L,1,06-Oct-08,Tvetenia vitracies group,,,4,7,Warm,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Crangonyx,A,1,06-Oct-08,Crangonyx,,,5,5,Cool,0.002531646
14469,Tankerhoosen River,2008,4,395,13986,08-B-113,1,Riffle,KN2M2,First,,Cardiocladius,L,1,06-Oct-08,Cardiocladius,,,5.5,8,Warm,0.002531646
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Antocha,L,1,09-Oct-13,Antocha,Antocha,14434_10_9_2013_1_First,5,5.666666667,Cool,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Thienemannimyia group,L,1,09-Oct-13,Thienemannimyia group,Thienemannimyia group,14434_10_9_2013_1_First,4,4.333333333,Cool,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Psephenus herricki,L,1,09-Oct-13,Psephenus herricki,Psephenus herricki,14434_10_9_2013_1_First,3,4.666666667,Warm,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Oecetis,L,1,09-Oct-13,Oecetis,Oecetis,14434_10_9_2013_1_First,4,6.666666667,Warm,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Hemerodromia,L,1,09-Oct-13,Hemerodromia,Hemerodromia,14434_10_9_2013_1_First,5,6,Cool,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Eurylophella,L,1,09-Oct-13,Eurylophella,Eurylophella,14434_10_9_2013_1_First,4,3,Cool,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Corydalus cornutus,L,1,09-Oct-13,Corydalus cornutus,Corydalus cornutus,14434_10_9_2013_1_First,4,5,Warm,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Coenagrionidae,L,1,09-Oct-13,Coenagrionidae,Coenagrionidae,14434_10_9_2013_1_First,4,,,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Ceratopsyche bronta,L,1,09-Oct-13,Ceratopsyche bronta,Ceratopsyche bronta,14434_10_9_2013_1_First,5,6,Warm,0.00257732
15380,Aspetuck River,2013,5,388,14434,13-B-113,1,Riffle,KN2M2,First,WAA,Baetis pluto,L,1,09-Oct-13,Baetis pluto,Baetis pluto,14434_10_9_2013_1_First,4,6,Cool,0.00257732
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Polypedilum aviceps,L,1,17-Sep-14,Polypedilum aviceps,Polypedilum aviceps,620.1-018_9_17_2014_1_First,4,5.333333333,Cool,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Macrostemum,L,1,17-Sep-14,Macrostemum,Macrostemum,620.1-018_9_17_2014_1_First,4,5,Warm,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Rheocricotopus,L,1,17-Sep-14,Rheocricotopus,Rheocricotopus,620.1-018_9_17_2014_1_First,3,7,Cool,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Lepidostoma,L,1,17-Sep-14,Lepidostoma,Lepidostoma,620.1-018_9_17_2014_1_First,2,3.333333333,Cold,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Acentrella turbida,L,1,17-Sep-14,Acentrella turbida,Acentrella turbida,620.1-018_9_17_2014_1_First,4,5,Cool,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Hemerodromia,L,1,17-Sep-14,Hemerodromia,Hemerodromia,620.1-018_9_17_2014_1_First,5,6,Cool,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Acroneuria abnormis,L,1,17-Sep-14,Acroneuria abnormis,Acroneuria abnormis,620.1-018_9_17_2014_1_First,3,4,Cool,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Antocha,L,1,17-Sep-14,Antocha,Antocha,620.1-018_9_17_2014_1_First,5,5.666666667,Cool,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Chironomidae,P,1,17-Sep-14,Chironomidae,Chironomidae,620.1-018_9_17_2014_1_First,,,,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Rheotanytarsus,L,1,17-Sep-14,Rheotanytarsus,Rheotanytarsus,620.1-018_9_17_2014_1_First,4,,,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Cheumatopsyche,L,1,17-Sep-14,Cheumatopsyche,Cheumatopsyche,620.1-018_9_17_2014_1_First,5,5.666666667,Cool,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Ceratopsyche bronta,L,1,17-Sep-14,Ceratopsyche bronta,Ceratopsyche bronta,620.1-018_9_17_2014_1_First,5,6,Warm,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Tvetenia vitracies group,L,1,17-Sep-14,Tvetenia vitracies group,Tvetenia,620.1-018_9_17_2014_1_First,4,7,Warm,0.002583979
14410,Quinebaug River,2014,5,387,620.1-018,14-B-019,1,Riffle,KN2M2,First,WAA,Leucrocuta,L,1,17-Sep-14,Leucrocuta,Leucrocuta,620.1-018_9_17_2014_1_First,2,3.333333333,Warm,0.002583979
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Stenelmis concinna,A,1,22-Oct-98,Stenelmis concinna,,,4,5.666666667,Warm,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Tubificidae,A,1,22-Oct-98,Tubificidae,,,5,2.666666667,Warm,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Thienemannimyia group,L,1,22-Oct-98,Thienemannimyia group,,,4,4.333333333,Cool,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Chironomidae,P,1,22-Oct-98,Chironomidae,,,,,,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Antocha,L,1,22-Oct-98,Antocha,,,5,5.666666667,Cool,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Baetis,L,1,22-Oct-98,Plauditus,,,3,7,Warm,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Serratella deficiens,L,1,22-Oct-98,Teloganopsis deficiens,,,3,4,Warm,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Microtendipes pedellus group,L,1,22-Oct-98,Microtendipes pedellus group,,,4,3.666666667,Cool,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Nectopsyche,L,1,22-Oct-98,Nectopsyche,,,,,Warm,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Nemata,A,1,22-Oct-98,Nematoda,,,,5.666666667,Cool,0.002631579
14147,Broad Brook,1998,2,380,1118,106,1,Riffle,KN2M2,First,,Optioservus ovalis,A,1,22-Oct-98,Optioservus ovalis,,,4,4.666666667,Cool,0.002631579
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Gyraulus,A,1,18-Sep-07,Gyraulus,,,4,,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Polypedilum illinoense group,L,1,18-Sep-07,Polypedilum illinoense group,,,4,,,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Argia,L,1,18-Sep-07,Argia,,,4,4.333333333,Warm,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Gammarus,A,1,18-Sep-07,Gammarus,,,5.5,6.333333333,Warm,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Hemerodromia,L,1,18-Sep-07,Hemerodromia,,,5,6,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Nanocladius,L,1,18-Sep-07,Nanocladius,,,3,3.666666667,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Laevapex fuscus,A,1,18-Sep-07,Laevapex fuscus,,,4,4.666666667,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Apatania,L,1,18-Sep-07,Apatania,,,3,1.666666667,Cold,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Tanytarsus,L,1,18-Sep-07,Sublettea,,,4,,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Paragnetina media,L,1,18-Sep-07,Paragnetina media,,,3,4.666666667,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Physa,A,1,18-Sep-07,Physa,,,4,6,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Rheocricotopus,P,1,18-Sep-07,Rheocricotopus,,,3,7,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Rheocricotopus,L,1,18-Sep-07,Rheocricotopus,,,3,7,Cool,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Prostoma,A,1,18-Sep-07,Prostoma,,,4,5,Warm,0.002673797
14206,French River,2007,4,374,11843,07-B-018,1,Riffle,KN2M2,First,,Tvetenia vitracies group,L,1,18-Sep-07,Tvetenia vitracies group,,,4,7,Warm,0.002673797
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Prostoma,NA,1,16-Oct-17,Prostoma,Prostoma,7955.02-43_10_16_2017_1_First,4,5,Warm,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Perlidae,L,1,16-Oct-17,Perlidae,Perlidae,7955.02-43_10_16_2017_1_First,,,,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Sperchon,NA,1,16-Oct-17,Sperchon,Sperchon,7955.02-43_10_16_2017_1_First,4,6,Cool,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Stenelmis,A,1,16-Oct-17,Stenelmis,Stenelmis,7955.02-43_10_16_2017_1_First,4,5.666666667,Warm,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Thienemannimyia group,L,1,16-Oct-17,Thienemannimyia group,Thienemannimyia group,7955.02-43_10_16_2017_1_First,4,4.333333333,Cool,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Turbellaria,NA,1,16-Oct-17,Turbellaria,Platyhelminthes,7955.02-43_10_16_2017_1_First,4,6.666666667,Warm,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Nanocladius,L,1,16-Oct-17,Nanocladius,Nanocladius,7955.02-43_10_16_2017_1_First,3,3.666666667,Cool,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Micrasema,L,1,16-Oct-17,Micrasema,Micrasema,7955.02-43_10_16_2017_1_First,3,4.666666667,Cool,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Petrophila,L,1,16-Oct-17,Petrophila,Petrophila,7955.02-43_10_16_2017_1_First,,,Warm,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Acroneuria lycorias,L,1,16-Oct-17,Acroneuria lycorias,Acroneuria lycorias,7955.02-43_10_16_2017_1_First,3,4,Cool,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Paragnetina media,L,1,16-Oct-17,Paragnetina media,Paragnetina media,7955.02-43_10_16_2017_1_First,3,4.666666667,Cool,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Heterocloeon,L,1,16-Oct-17,Heterocloeon ,Heterocloeon,7955.02-43_10_16_2017_1_First,,8.666666667,Warm,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Heptageniidae,L,1,16-Oct-17,Heptageniidae,Heptageniidae,7955.02-43_10_16_2017_1_First,,,,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Corynoneura,L,1,16-Oct-17,Corynoneura,Corynoneura,7955.02-43_10_16_2017_1_First,3,6.333333333,Cool,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Corbicula,NA,1,16-Oct-17,Corbicula,Corbicula,7955.02-43_10_16_2017_1_First,6,,,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Capniidae,L,1,16-Oct-17,Capniidae,Capniidae,7955.02-43_10_16_2017_1_First,4,1.333333333,Cold,0.002680965
14451,Shetucket River,2017,6,373,7955.02-43,17-B-040,1,Riffle,KN2M2,First,EcoAnalysts,Micromenetus,NA,1,16-Oct-17,Micromenetus,Micromenetus,7955.02-43_10_16_2017_1_First,4,8,Cool,0.002680965
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Polypedilum scalaenum group,L,1,07-Oct-14,Polypedilum scalaenum group,Polypedilum scalaenum group,620.1-158_10_7_2014_1_First,4,,,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Orconectes,A,1,07-Oct-14,Orconectes,Orconectes,620.1-158_10_7_2014_1_First,,5.333333333,Cool,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Optioservus ovalis,A,1,07-Oct-14,Optioservus ovalis,Optioservus ovalis,620.1-158_10_7_2014_1_First,4,4.666666667,Cool,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Limnephilidae,L,1,07-Oct-14,Limnephilidae,Limnephilidae,620.1-158_10_7_2014_1_First,,,,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Hexatoma,L,1,07-Oct-14,Hexatoma,Hexatoma,620.1-158_10_7_2014_1_First,2,2.333333333,Cool,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Hemerodromia,L,1,07-Oct-14,Hemerodromia,Hemerodromia,620.1-158_10_7_2014_1_First,5,6,Cool,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Cricotopus bicinctus,L,1,07-Oct-14,Cricotopus bicinctus,Cricotopus bicinctus,620.1-158_10_7_2014_1_First,5.5,7,Warm,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Baetis intercalaris,L,1,07-Oct-14,Baetis intercalaris,Baetis intercalaris,620.1-158_10_7_2014_1_First,4,7.333333333,Warm,0.002688172
17405,Roaring Brook,2014,5,372,620.1-158,14-B-173,1,Riffle,KN2M2,First,WAA,Nanocladius,L,1,07-Oct-14,Nanocladius,Nanocladius,620.1-158_10_7_2014_1_First,3,3.666666667,Cool,0.002688172
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Polypedilum aviceps,L,1,29-Sep-09,Polypedilum aviceps,,,4,5.333333333,Cool,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Macronychus glabratus,L,1,29-Sep-09,Macronychus glabratus,,,4,6.666666667,Cool,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Tanytarsini,P,1,29-Sep-09,Tanytarsini,,,,,,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Lebertia,A,1,29-Sep-09,Lebertia,,,4,,Cold,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Orthocladiinae,P,1,29-Sep-09,Orthocladiinae,,,4,,,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Stenelmis,L,1,29-Sep-09,Stenelmis,,,4,5.666666667,Warm,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Tvetenia vitracies group,P,1,29-Sep-09,Tvetenia vitracies group,,,4,7,Warm,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Baetis pluto,L,1,29-Sep-09,Baetis pluto,,,4,6,Cool,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Heptageniidae,L,1,29-Sep-09,Heptageniidae,,,,,,0.002717391
14150,Byram River,2009,4,368,15634,09-B-023,1,Riffle,KN2M2,First,,Hydrobiidae,A,1,29-Sep-09,Hydrobiidae,,,4,6.666666667,Warm,0.002717391
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Psephenus herricki,L,1,17-Sep-14,Psephenus herricki,Psephenus herricki,620.1-019_9_17_2014_1_First,3,4.666666667,Warm,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Polypedilum aviceps,L,1,17-Sep-14,Polypedilum aviceps,Polypedilum aviceps,620.1-019_9_17_2014_1_First,4,5.333333333,Cool,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Paragnetina media,L,1,17-Sep-14,Paragnetina media,Paragnetina media,620.1-019_9_17_2014_1_First,3,4.666666667,Cool,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Oulimnius latiusculus,L,1,17-Sep-14,Oulimnius latiusculus,Oulimnius latiusculus,620.1-019_9_17_2014_1_First,3,5,Cold,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Macronychus glabratus,L,1,17-Sep-14,Macronychus glabratus,Macronychus glabratus,620.1-019_9_17_2014_1_First,4,6.666666667,Cool,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Hydrobiidae,A,1,17-Sep-14,Hydrobiidae,Hydrobiidae,620.1-019_9_17_2014_1_First,4,6.666666667,Warm,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Helicopsyche borealis,L,1,17-Sep-14,Helicopsyche borealis,Helicopsyche borealis,620.1-019_9_17_2014_1_First,2,5.333333333,Cool,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Diamesa,L,1,17-Sep-14,Sympotthastia,Sympotthastia,620.1-019_9_17_2014_1_First,,,,0.002840909
14609,Quinebaug River,2014,5,352,620.1-019,14-B-020,1,Riffle,KN2M2,First,WAA,Cricotopus,L,1,17-Sep-14,Cricotopus,Cricotopus,620.1-019_9_17_2014_1_First,5.5,7,Warm,0.002840909
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Orthocladius,L,1,25-Oct-06,Orthocladius,,,4,4.666666667,Cool,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Brillia,L,1,25-Oct-06,Brillia,,,4,2.666666667,Cold,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Baetis intercalaris,L,1,25-Oct-06,Baetis intercalaris,,,4,7.333333333,Warm,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Orconectes,A,1,25-Oct-06,Orconectes,,,,5.333333333,Cool,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Micropsectra,L,1,25-Oct-06,Micropsectra,,,3,6.666666667,Cool,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Polypedilum aviceps,L,1,25-Oct-06,Polypedilum aviceps,,,4,5.333333333,Cool,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Psephenus herricki,L,1,25-Oct-06,Psephenus herricki,,,3,4.666666667,Warm,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Acroneuria abnormis,L,1,25-Oct-06,Acroneuria abnormis,,,3,4,Cool,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Thienemannimyia group,L,1,25-Oct-06,Thienemannimyia group,,,4,4.333333333,Cool,0.00295858
14319,Naugatuck River,2006,4,338,10035,06-B-112-First,1,Riffle,KN2M2,First,,Optioservus trivittatus,A,1,25-Oct-06,Optioservus trivittatus,,,4,4.666666667,Cool,0.00295858
18515,"Menunketesuck River, Unnamed Tributary to",2013,5,336,14571,13-B-130,1,Riffle,KN2M2,First,WAA,Isonychia,L,1,16-Oct-13,Isonychia,Isonychia,14571_10_16_2013_1_First,3,4.666666667,Warm,0.00297619
