"","STA_SEQ","Station_Name","Sample_Date","SampYr","BCG_Attribute","SensitiveEPT","OTU","x"
"95",14470,"Tankerhoosen River","10/11/1994",1994,3,1,"Acroneuria",1
"96",14441,"Salmon River","10/13/1994",1994,3,1,"Acroneuria",7
"97",14442,"Sandy Brook","10/24/1994",1994,3,1,"Acroneuria",11
"98",14314,"Natchaug River","10/12/1995",1995,3,1,"Acroneuria",3
"99",14442,"Sandy Brook","10/18/1995",1995,3,1,"Acroneuria",4
"100",14441,"Salmon River","10/26/1995",1995,3,1,"Acroneuria",13
"101",14470,"Tankerhoosen River","10/26/1995",1995,3,1,"Acroneuria",7
"102",14441,"Salmon River","11/18/1996",1996,3,1,"Acroneuria",13
"103",14442,"Sandy Brook","11/20/1996",1996,3,1,"Acroneuria",4
"104",14247,"Hollenbeck River","11/6/1996",1996,3,1,"Acroneuria",4
"105",14314,"Natchaug River","10/10/1997",1997,3,1,"Acroneuria",7
"106",14441,"Salmon River","10/10/1997",1997,3,1,"Acroneuria",4
"107",14221,"Hammonasset River","10/21/1997",1997,3,1,"Acroneuria",6
"108",14442,"Sandy Brook","10/7/1997",1997,3,1,"Acroneuria",2
"109",14484,"West Branch Salmon Brook","10/19/1998",1998,3,1,"Acroneuria",3
"110",14442,"Sandy Brook","10/21/1998",1998,3,1,"Acroneuria",2
"111",14314,"Natchaug River","10/23/1998",1998,3,1,"Acroneuria",4
"112",14441,"Salmon River","10/27/1998",1998,3,1,"Acroneuria",11
"113",14584,"Roaring Brook","10/13/1999",1999,3,1,"Acroneuria",4
"114",14314,"Natchaug River","10/26/1999",1999,3,1,"Acroneuria",5
"115",14441,"Salmon River","11/8/1999",1999,3,1,"Acroneuria",21
"116",14314,"Natchaug River","10/2/2000",2000,3,1,"Acroneuria",5
"117",14720,"Green Fall River","10/25/2000",2000,3,1,"Acroneuria",10
"118",14584,"Roaring Brook","10/3/2000",2000,3,1,"Acroneuria",1
"119",14442,"Sandy Brook","10/5/2000",2000,3,1,"Acroneuria",2
"120",14314,"Natchaug River","10/11/2001",2001,3,1,"Acroneuria",11
"121",14441,"Salmon River","10/11/2001",2001,3,1,"Acroneuria",4
"122",14584,"Roaring Brook","10/17/2001",2001,3,1,"Acroneuria",2
"123",14720,"Green Fall River","10/30/2001",2001,3,1,"Acroneuria",9
"124",14442,"Sandy Brook","10/4/2001",2001,3,1,"Acroneuria",11
"125",14314,"Natchaug River","10/18/2002",2002,3,1,"Acroneuria",7
"126",14584,"Roaring Brook","10/23/2002",2002,3,1,"Acroneuria",1
"127",14720,"Green Fall River","10/24/2002",2002,3,1,"Acroneuria",18
"128",14842,"Indian Meadow Brook","10/8/2002",2002,3,1,"Acroneuria",3
"129",14442,"Sandy Brook","10/8/2002",2002,3,1,"Acroneuria",5
"130",14584,"Roaring Brook","10/2/2003",2003,3,1,"Acroneuria",5
"131",14720,"Green Fall River","10/7/2003",2003,3,1,"Acroneuria",8
"132",14314,"Natchaug River","10/8/2003",2003,3,1,"Acroneuria",3
"133",14441,"Salmon River","10/8/2003",2003,3,1,"Acroneuria",9
"134",14442,"Sandy Brook","11/12/2003",2003,3,1,"Acroneuria",5
"135",14470,"Tankerhoosen River","11/13/2003",2003,3,1,"Acroneuria",7
"136",14441,"Salmon River","10/25/2004",2004,3,1,"Acroneuria",14
"137",15020,"Eightmile River","10/28/2004",2004,3,1,"Acroneuria",21
"138",14221,"Hammonasset River","11/2/2004",2004,3,1,"Acroneuria",9
"139",14720,"Green Fall River","9/22/2004",2004,3,1,"Acroneuria",8
"140",14720,"Green Fall River","10/31/2005",2005,3,1,"Acroneuria",13
"141",14441,"Salmon River","10/31/2005",2005,3,1,"Acroneuria",32
"142",14314,"Natchaug River","11/2/2005",2005,3,1,"Acroneuria",18
"143",14442,"Sandy Brook","11/4/2005",2005,3,1,"Acroneuria",5
"144",14720,"Green Fall River","9/18/2006",2006,3,1,"Acroneuria",2
"145",14314,"Natchaug River","9/20/2006",2006,3,1,"Acroneuria",6
"146",14441,"Salmon River","9/20/2006",2006,3,1,"Acroneuria",6
"147",14247,"Hollenbeck River","9/21/2006",2006,3,1,"Acroneuria",1
"148",14442,"Sandy Brook","9/21/2006",2006,3,1,"Acroneuria",2
"149",14221,"Hammonasset River","10/2/2007",2007,3,1,"Acroneuria",12
"150",16139,"Brown Brook","10/9/2007",2007,3,1,"Acroneuria",2
"151",14442,"Sandy Brook","10/9/2007",2007,3,1,"Acroneuria",5
"152",16112,"Hemlock Valley Brook","9/18/2007",2007,3,1,"Acroneuria",15
"153",16119,"Day Pond Brook","9/19/2007",2007,3,1,"Acroneuria",20
"154",16124,"Flat Brook","9/21/2007",2007,3,1,"Acroneuria",41
"155",14720,"Green Fall River","9/21/2007",2007,3,1,"Acroneuria",6
"156",14314,"Natchaug River","9/21/2007",2007,3,1,"Acroneuria",11
"157",15176,"Natchaug River","9/21/2007",2007,3,1,"Acroneuria",18
"158",14584,"Roaring Brook","9/21/2007",2007,3,1,"Acroneuria",1
"159",16114,"Rugg Brook","9/21/2007",2007,3,1,"Acroneuria",1
"160",15312,"Beaver Brook","9/24/2007",2007,3,1,"Acroneuria",8
"161",16127,"Jakes Brook","9/24/2007",2007,3,1,"Acroneuria",21
"162",14441,"Salmon River","9/24/2007",2007,3,1,"Acroneuria",16
"163",15315,"Burnham Brook","9/25/2007",2007,3,1,"Acroneuria",23
"164",15796,"PENDLETON HILL BROOK","9/25/2007",2007,3,1,"Acroneuria",10
"165",14470,"Tankerhoosen River","10/6/2008",2008,3,1,"Acroneuria",8
"166",14720,"Green Fall River","9/15/2008",2008,3,1,"Acroneuria",1
"167",14842,"Indian Meadow Brook","9/17/2008",2008,3,1,"Acroneuria",3
"168",14314,"Natchaug River","9/22/2008",2008,3,1,"Acroneuria",4
"169",15176,"Natchaug River","9/22/2008",2008,3,1,"Acroneuria",18
"170",14441,"Salmon River","9/23/2008",2008,3,1,"Acroneuria",15
"171",15312,"Beaver Brook","9/24/2008",2008,3,1,"Acroneuria",9
"172",15020,"Eightmile River","9/24/2008",2008,3,1,"Acroneuria",9
"173",16139,"Brown Brook","9/25/2008",2008,3,1,"Acroneuria",1
"174",14247,"Hollenbeck River","9/25/2008",2008,3,1,"Acroneuria",1
"175",14442,"Sandy Brook","10/1/2009",2009,3,1,"Acroneuria",5
"176",16139,"Brown Brook","10/13/2009",2009,3,1,"Acroneuria",1
"177",14221,"Hammonasset River","10/13/2009",2009,3,1,"Acroneuria",3
"178",14314,"Natchaug River","10/2/2009",2009,3,1,"Acroneuria",1
"179",15176,"Natchaug River","10/2/2009",2009,3,1,"Acroneuria",17
"180",14584,"Roaring Brook","10/21/2009",2009,3,1,"Acroneuria",2
"181",14441,"Salmon River","10/22/2009",2009,3,1,"Acroneuria",6
"182",14720,"Green Fall River","9/29/2009",2009,3,1,"Acroneuria",1
"183",15312,"Beaver Brook","9/30/2009",2009,3,1,"Acroneuria",4
"184",16139,"Brown Brook","10/12/2010",2010,3,1,"Acroneuria",1
"185",15312,"Beaver Brook","10/4/2010",2010,3,1,"Acroneuria",4
"186",15020,"Eightmile River","10/4/2010",2010,3,1,"Acroneuria",5
"187",14441,"Salmon River","10/4/2010",2010,3,1,"Acroneuria",6
"188",16143,"Little River","10/7/2010",2010,3,1,"Acroneuria",1
"189",14720,"Green Fall River","9/15/2010",2010,3,1,"Acroneuria",3
"190",16112,"Hemlock Valley Brook","9/15/2010",2010,3,1,"Acroneuria",2
"191",15796,"PENDLETON HILL BROOK","9/15/2010",2010,3,1,"Acroneuria",2
"192",14314,"Natchaug River","9/16/2010",2010,3,1,"Acroneuria",7
"193",15176,"Natchaug River","9/16/2010",2010,3,1,"Acroneuria",8
"194",14470,"Tankerhoosen River","9/23/2010",2010,3,1,"Acroneuria",1
"195",15315,"Burnham Brook","10/11/2011",2011,3,1,"Acroneuria",4
"196",14720,"Green Fall River","10/11/2011",2011,3,1,"Acroneuria",5
"197",16112,"Hemlock Valley Brook","10/11/2011",2011,3,1,"Acroneuria",5
"198",15796,"PENDLETON HILL BROOK","10/11/2011",2011,3,1,"Acroneuria",2
"199",15312,"Beaver Brook","10/12/2011",2011,3,1,"Acroneuria",5
"200",16119,"Day Pond Brook","10/12/2011",2011,3,1,"Acroneuria",1
"201",14441,"Salmon River","10/12/2011",2011,3,1,"Acroneuria",3
"202",14470,"Tankerhoosen River","10/12/2011",2011,3,1,"Acroneuria",12
"203",14221,"Hammonasset River","10/13/2011",2011,3,1,"Acroneuria",2
"204",16139,"Brown Brook","10/21/2011",2011,3,1,"Acroneuria",3
"205",16124,"Flat Brook","10/21/2011",2011,3,1,"Acroneuria",2
"206",15240,"Hubbard Brook","11/10/2011",2011,3,1,"Acroneuria",2
"207",16114,"Rugg Brook","11/10/2011",2011,3,1,"Acroneuria",1
"208",14442,"Sandy Brook","11/10/2011",2011,3,1,"Acroneuria",1
"209",14484,"West Branch Salmon Brook","11/10/2011",2011,3,1,"Acroneuria",2
"210",16127,"Jakes Brook","11/8/2011",2011,3,1,"Acroneuria",2
"211",14842,"Indian Meadow Brook","10/10/2012",2012,3,1,"Acroneuria",4
"212",16124,"Flat Brook","10/11/2012",2012,3,1,"Acroneuria",3
"213",16127,"Jakes Brook","10/11/2012",2012,3,1,"Acroneuria",5
"214",14584,"Roaring Brook","10/12/2012",2012,3,1,"Acroneuria",9
"215",15312,"Beaver Brook","10/15/2012",2012,3,1,"Acroneuria",9
"216",15020,"Eightmile River","10/15/2012",2012,3,1,"Acroneuria",8
"217",14470,"Tankerhoosen River","10/15/2012",2012,3,1,"Acroneuria",9
"218",14484,"West Branch Salmon Brook","10/16/2012",2012,3,1,"Acroneuria",1
"219",14442,"Sandy Brook","10/3/2012",2012,3,1,"Acroneuria",3
"220",16119,"Day Pond Brook","9/18/2012",2012,3,1,"Acroneuria",4
"221",14441,"Salmon River","9/18/2012",2012,3,1,"Acroneuria",4
"222",14720,"Green Fall River","9/19/2012",2012,3,1,"Acroneuria",3
"223",15796,"PENDLETON HILL BROOK","9/19/2012",2012,3,1,"Acroneuria",10
"224",16112,"Hemlock Valley Brook","9/21/2012",2012,3,1,"Acroneuria",7
"225",15176,"Natchaug River","9/26/2012",2012,3,1,"Acroneuria",10
"226",14720,"Green Fall River","10/1/2013",2013,3,1,"Acroneuria",2
"227",15240,"Hubbard Brook","10/15/2013",2013,3,1,"Acroneuria",2
"228",15499,"West Branch Salmon Brook","10/15/2013",2013,3,1,"Acroneuria",1
"229",14221,"Hammonasset River","10/16/2013",2013,3,1,"Acroneuria",3
"230",14470,"Tankerhoosen River","10/3/2013",2013,3,1,"Acroneuria",3
"231",16139,"Brown Brook","10/8/2013",2013,3,1,"Acroneuria",2
"232",16124,"Flat Brook","10/8/2013",2013,3,1,"Acroneuria",9
"233",16127,"Jakes Brook","9/16/2013",2013,3,1,"Acroneuria",4
"234",15315,"Burnham Brook","9/19/2013",2013,3,1,"Acroneuria",8
"235",16119,"Day Pond Brook","9/19/2013",2013,3,1,"Acroneuria",3
"236",16112,"Hemlock Valley Brook","9/19/2013",2013,3,1,"Acroneuria",2
"237",14441,"Salmon River","9/19/2013",2013,3,1,"Acroneuria",3
"238",15020,"Eightmile River","10/2/2014",2014,3,1,"Acroneuria",3
"239",16112,"Hemlock Valley Brook","10/2/2014",2014,3,1,"Acroneuria",18
"240",15240,"Hubbard Brook","10/21/2014",2014,3,1,"Acroneuria",1
"241",14314,"Natchaug River","10/6/2014",2014,3,1,"Acroneuria",3
"242",15176,"Natchaug River","10/6/2014",2014,3,1,"Acroneuria",4
"243",14470,"Tankerhoosen River","9/15/2014",2014,3,1,"Acroneuria",2
"244",14720,"Green Fall River","9/16/2014",2014,3,1,"Acroneuria",6
"245",15796,"PENDLETON HILL BROOK","9/16/2014",2014,3,1,"Acroneuria",5
"246",14584,"Roaring Brook","9/16/2014",2014,3,1,"Acroneuria",3
"247",14842,"Indian Meadow Brook","9/24/2014",2014,3,1,"Acroneuria",1
"248",14442,"Sandy Brook","9/24/2014",2014,3,1,"Acroneuria",1
"249",16139,"Brown Brook","9/29/2014",2014,3,1,"Acroneuria",1
"250",16124,"Flat Brook","9/29/2014",2014,3,1,"Acroneuria",9
"251",16127,"Jakes Brook","9/29/2014",2014,3,1,"Acroneuria",2
"252",15315,"Burnham Brook","9/30/2014",2014,3,1,"Acroneuria",3
"253",16119,"Day Pond Brook","9/30/2014",2014,3,1,"Acroneuria",8
"254",14441,"Salmon River","9/30/2014",2014,3,1,"Acroneuria",3
"255",15315,"Burnham Brook","10/1/2015",2015,3,1,"Acroneuria",5
"256",16112,"Hemlock Valley Brook","10/1/2015",2015,3,1,"Acroneuria",16
"257",14470,"Tankerhoosen River","10/1/2015",2015,3,1,"Acroneuria",11
"258",14720,"Green Fall River","10/5/2015",2015,3,1,"Acroneuria",20
"259",15796,"PENDLETON HILL BROOK","10/5/2015",2015,3,1,"Acroneuria",1
"260",14442,"Sandy Brook","9/14/2015",2015,3,1,"Acroneuria",4
"261",16119,"Day Pond Brook","9/15/2015",2015,3,1,"Acroneuria",10
"262",14441,"Salmon River","9/15/2015",2015,3,1,"Acroneuria",2
"263",15499,"West Branch Salmon Brook","9/15/2015",2015,3,1,"Acroneuria",1
"264",15176,"Natchaug River","9/16/2015",2015,3,1,"Acroneuria",7
"265",15240,"Hubbard Brook","9/23/2015",2015,3,1,"Acroneuria",1
"266",14842,"Indian Meadow Brook","9/23/2015",2015,3,1,"Acroneuria",5
"267",16127,"Jakes Brook","9/23/2015",2015,3,1,"Acroneuria",1
"268",16124,"Flat Brook","9/25/2015",2015,3,1,"Acroneuria",3
"269",14221,"Hammonasset River","10/25/2016",2016,3,1,"Acroneuria",3
"270",16139,"Brown Brook","10/28/2016",2016,3,1,"Acroneuria",1
"271",16124,"Flat Brook","10/28/2016",2016,3,1,"Acroneuria",2
"272",14720,"Green Fall River","9/20/2016",2016,3,1,"Acroneuria",11
"273",15796,"PENDLETON HILL BROOK","9/20/2016",2016,3,1,"Acroneuria",3
"274",14470,"Tankerhoosen River","9/20/2016",2016,3,1,"Acroneuria",7
"275",16127,"Jakes Brook","9/29/2016",2016,3,1,"Acroneuria",7
"276",16119,"Day Pond Brook","9/30/2016",2016,3,1,"Acroneuria",1
"277",14441,"Salmon River","9/30/2016",2016,3,1,"Acroneuria",8
"278",14720,"Green Fall River","10/10/2017",2017,3,1,"Acroneuria",2
"279",15796,"PENDLETON HILL BROOK","10/10/2017",2017,3,1,"Acroneuria",4
"280",14314,"Natchaug River","10/16/2017",2017,3,1,"Acroneuria",1
"281",16119,"Day Pond Brook","10/19/2017",2017,3,1,"Acroneuria",1
"282",14441,"Salmon River","10/19/2017",2017,3,1,"Acroneuria",1
"283",14584,"Roaring Brook","10/3/2017",2017,3,1,"Acroneuria",1
"284",14470,"Tankerhoosen River","10/3/2017",2017,3,1,"Acroneuria",2
"285",15240,"Hubbard Brook","10/6/2017",2017,3,1,"Acroneuria",1
"286",14442,"Sandy Brook","10/6/2017",2017,3,1,"Acroneuria",3
"287",16119,"Day Pond Brook","9/19/2007",2007,2,1,"Adricrophleps",1
"288",15315,"Burnham Brook","9/25/2007",2007,2,1,"Adricrophleps",1
"289",15315,"Burnham Brook","10/11/2011",2011,2,1,"Adricrophleps",1
"290",16119,"Day Pond Brook","9/18/2012",2012,2,1,"Adricrophleps",2
"291",16114,"Rugg Brook","10/8/2013",2013,2,1,"Adricrophleps",2
"292",15315,"Burnham Brook","9/19/2013",2013,2,1,"Adricrophleps",3
"293",16119,"Day Pond Brook","9/30/2014",2014,2,1,"Adricrophleps",1
"294",16119,"Day Pond Brook","9/15/2015",2015,2,1,"Adricrophleps",1
"295",15315,"Burnham Brook","10/24/2016",2016,2,1,"Adricrophleps",1
"296",15020,"Eightmile River","10/28/2004",2004,3,1,"Agapetus",1
"297",15312,"Beaver Brook","9/24/2008",2008,3,1,"Agapetus",6
"298",15315,"Burnham Brook","10/11/2011",2011,3,1,"Agapetus",3
"299",16124,"Flat Brook","10/11/2012",2012,3,1,"Agapetus",1
"300",15315,"Burnham Brook","9/30/2014",2014,3,1,"Agapetus",1
"301",14442,"Sandy Brook","11/4/1993",1993,0,1,"Agarodes",1
"302",14314,"Natchaug River","10/22/1991",1991,3,1,"Agnetina",1
"303",14442,"Sandy Brook","11/4/1993",1993,3,1,"Agnetina",1
"304",14314,"Natchaug River","10/11/1994",1994,3,1,"Agnetina",1
"305",14442,"Sandy Brook","10/24/1994",1994,3,1,"Agnetina",1
"306",14314,"Natchaug River","10/12/1995",1995,3,1,"Agnetina",1
"307",14442,"Sandy Brook","10/18/1995",1995,3,1,"Agnetina",1
"308",14470,"Tankerhoosen River","10/26/1995",1995,3,1,"Agnetina",3
"309",14484,"West Branch Salmon Brook","10/19/1998",1998,3,1,"Agnetina",4
"310",14314,"Natchaug River","10/23/1998",1998,3,1,"Agnetina",5
"311",14584,"Roaring Brook","10/13/1999",1999,3,1,"Agnetina",1
"312",14442,"Sandy Brook","11/9/1999",1999,3,1,"Agnetina",2
"313",14314,"Natchaug River","10/11/2001",2001,3,1,"Agnetina",1
"314",14584,"Roaring Brook","10/17/2001",2001,3,1,"Agnetina",2
"315",14442,"Sandy Brook","10/4/2001",2001,3,1,"Agnetina",1
"316",14314,"Natchaug River","10/18/2002",2002,3,1,"Agnetina",1
"317",14470,"Tankerhoosen River","11/13/2003",2003,3,1,"Agnetina",1
"318",14442,"Sandy Brook","9/21/2006",2006,3,1,"Agnetina",1
"319",16124,"Flat Brook","9/21/2007",2007,3,1,"Agnetina",1
"320",14584,"Roaring Brook","9/21/2007",2007,3,1,"Agnetina",4
"321",14484,"West Branch Salmon Brook","9/22/2008",2008,3,1,"Agnetina",1
"322",14470,"Tankerhoosen River","10/3/2013",2013,3,1,"Agnetina",1
"323",14470,"Tankerhoosen River","9/15/2014",2014,3,1,"Agnetina",2
"324",14470,"Tankerhoosen River","10/1/2015",2015,3,1,"Agnetina",2
"325",15240,"Hubbard Brook","9/23/2015",2015,3,1,"Agnetina",2
"326",14470,"Tankerhoosen River","9/20/2016",2016,3,1,"Agnetina",4
"327",14584,"Roaring Brook","10/3/2000",2000,4,1,"Allocapnia",1
"328",16143,"Little River","10/18/2011",2011,4,1,"Allocapnia",3
"329",16124,"Flat Brook","10/21/2011",2011,4,1,"Allocapnia",7
"330",14720,"Green Fall River","10/24/2002",2002,2,1,"Alloperla",1
"331",16127,"Jakes Brook","9/16/2013",2013,2,1,"Alloperla",1
"332",16127,"Jakes Brook","11/8/2011",2011,0,1,"Ameletus",3
"333",15312,"Beaver Brook","9/24/2007",2007,5,0,"Amnicola",1
"334",16114,"Rugg Brook","11/10/2011",2011,0,1,"Amphinemura",1
"335",14470,"Tankerhoosen River","10/11/1994",1994,3,0,"Anchytarsus",2
"336",14470,"Tankerhoosen River","10/26/1995",1995,3,0,"Anchytarsus",2
"337",14720,"Green Fall River","10/25/2000",2000,3,0,"Anchytarsus",1
"338",14720,"Green Fall River","10/24/2002",2002,3,0,"Anchytarsus",2
"339",14720,"Green Fall River","10/7/2003",2003,3,0,"Anchytarsus",3
"340",14470,"Tankerhoosen River","11/13/2003",2003,3,0,"Anchytarsus",2
"341",14720,"Green Fall River","9/22/2004",2004,3,0,"Anchytarsus",2
"342",14720,"Green Fall River","10/31/2005",2005,3,0,"Anchytarsus",8
"343",16119,"Day Pond Brook","9/19/2007",2007,3,0,"Anchytarsus",9
"344",14720,"Green Fall River","9/21/2007",2007,3,0,"Anchytarsus",1
"345",15312,"Beaver Brook","9/24/2007",2007,3,0,"Anchytarsus",1
"346",15315,"Burnham Brook","9/25/2007",2007,3,0,"Anchytarsus",1
"347",16143,"Little River","9/25/2007",2007,3,0,"Anchytarsus",1
"348",15796,"PENDLETON HILL BROOK","9/25/2007",2007,3,0,"Anchytarsus",2
"349",14470,"Tankerhoosen River","10/6/2008",2008,3,0,"Anchytarsus",1
"350",14720,"Green Fall River","9/15/2008",2008,3,0,"Anchytarsus",3
"351",15312,"Beaver Brook","9/24/2008",2008,3,0,"Anchytarsus",1
"352",15312,"Beaver Brook","10/4/2010",2010,3,0,"Anchytarsus",2
"353",16143,"Little River","10/7/2010",2010,3,0,"Anchytarsus",1
"354",14720,"Green Fall River","9/15/2010",2010,3,0,"Anchytarsus",1
"355",15796,"PENDLETON HILL BROOK","9/15/2010",2010,3,0,"Anchytarsus",1
"356",15315,"Burnham Brook","10/11/2011",2011,3,0,"Anchytarsus",6
