DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG,SensitiveEPT,BCG_Attribute,Tol,TolSource,common_name,Notes,AddedBy,AddedDate,UpdatedSynonym,CTTempOptimaAvg,RegionalTempOptimaAvg,RegionalTempOptimaClass
174,Ameletus,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ameletidae,,,,Ameletus,,,C-G,1,,0,Hilsenhoff 1987,,,G.Hoffman,21-Feb-12,,,1,Cold
3,Ameletus lineatus,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ameletidae,,,,Ameletus,lineatus,Ameletus lineatus,C-G,1,,0,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,1,,1,Cold
1182,Amnicola,,Mollusca,,,,Gastropoda,Caenogastropoda,,,Littoridinomorpha,,,Truncatelloidea,Amnicolidae,,,,Amnicola,,,SCR,0,5,8,Rapid Bioassessment Protocols 1989,,"Added by EcoAna 2018 - 2019, Genus already identified at sp. level",M.Becker,08-Feb-21,,,,
1190,Lyogyrus,,Mollusca,,,,Gastropoda,Caenogastropoda,,,Littoridinomorpha,,,Truncatelloidea,Amnicolidae,,,,Lyogyrus,,,,,,,,,Added by EcoAna 2018 - 2019,M.Becker,08-Feb-21,,,,
702,Ferrissia,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Ferrissia,,,SCR,0,4,6,CT DEP new,,,G.Hoffman,01-Dec-02,,4.333333333,4.666666667,Cool
703,Ferrissia rivularis,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Ferrissia,rivularis,,SCR,0,4,6,CT DEP new,,,G.Hoffman,03-Dec-03,,4.333333333,4.666666667,Cool
45,Ferrissia walkeri,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Ferrissia,walkeri,,SCR,0,4,6,CT DEP new,,,G.Hoffman,01-Dec-02,,4.333333333,4.666666667,Cool
921,Ferrissia fragilis,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Ferrissia,fragilis,,SCR,0,4,6,CT DEP new,,,G.Hoffman,01-Dec-02,,4.333333333,4.666666667,Cool
904,Ferrissia parallela,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Ferrissia,parallela,,SCR,0,4,6,CT DEP new,,,G.Hoffman,01-Dec-02,,4.333333333,4.666666667,Cool
704,Laevapex fuscus,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Laevapex,fuscus,,SCR,0,4,5,CT DEP new,,,G.Hoffman,01-Dec-02,,4.666666667,3.666666667,Cool
701,Ancylidae,,Mollusca,,,,Gastropoda,,,,Basommatophora,,,,Ancylidae,,,,Na,,,SCR,0,4,6,CT DEP new,,,M.Beauchene,13-Dec-04,,,,
205,Cyathura polita,,Arthropoda,,,,Malacostraca,,,,Isopoda,,,,Anthuridea,,,,Cyathura,polita,,C-G,0,,8,Inferred from Hilsenhoff 1987,,,G.Hoffman,05-Jul-11,,,,
809,Apatania,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Apataniidae,,,,Apatania,,,SCR,1,3,3,CT DEP new,,,G.Hoffman,01-Dec-02,,1.666666667,3,Cold
353,Arrenurus,,Arthropoda,,,,Arachnida,,,,Trombidiformes,,,,Arrenuridae,,,,Arrenurus,,,PRD,0,4,4,Rapid Bioassessment Protocols 1989,,,G.Hoffman,03-Dec-03,,,,
21,Caecidotea communis,,Arthropoda,,,,Malacostraca,,,,Isopoda,,,,Asellidae,,,,Caecidotea,communis,"Caecidotea communis, Asellus communis, Asellus miltitaris",C-G,0,5,8,Inferred from Hilsenhoff 1988,,,G.Hoffman,01-Dec-02,1,5,7.333333333,Warm
479,Caecidotea,,Arthropoda,,,,Malacostraca,,,,Isopoda,,,,Asellidae,,,,Caecidotea,,,C-G,0,4,8,Inferred from Hilsenhoff 1988,,,G.Hoffman,03-Dec-03,,5,7.333333333,Warm
480,Caecidotea racovitzai,,Arthropoda,,,,Malacostraca,,,,Isopoda,,,,Asellidae,,,,Caecidotea,racovitzai,,C-G,0,4,8,Hilsenhoff 1987,,,M.Beauchene,13-Dec-04,,5,7.333333333,Warm
478,Asellidae,,Arthropoda,,,,Malacostraca,,,,Isopoda,,,,Asellidae,,,,Na,,,C-G,0,,8,Inferred from Hilsenhoff 1988,,,G.Hoffman,01-Dec-02,,,,
398,Astacidae,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Astacidae,,,,Na,,,C-G,0,,6,Rapid Bioassessment Protocols 1989,,,G.Hoffman,01-Dec-02,,,,
536,Atherix,,Arthropoda,,,,Insecta,,,,Diptera,,,,Athericidae,,,,Atherix,,,PRD,0,3,2,Hilsenhoff 1987,,,G.Hoffman,03-Dec-03,,4,5,Cool
537,Atherix variegata,,Arthropoda,,,,Insecta,,,,Diptera,,,,Athericidae,,,,Atherix,variegata,,PRD,0,3,2,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,4,5,Cool
950,Atherix lantha,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Neoptera,Holometabola,Diptera,Brachycera,Tabanomorpha,Na,Athericidae,Na,Na,Na,Atherix,lantha,,PRD,0,3,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,4,5,Cool
535,Athericidae,,Arthropoda,,,,Insecta,,,,Diptera,,,,Athericidae,,,,Na,,,PRD,0,3,2,Hilsenhoff 1987,,,G.Hoffman,03-Dec-03,,,,
180,Aturus ,,Arthropoda,,,,Arachnida,,,,Trombidoformes,,,,Aturidae,,,,Aturus,,,,0,,,,,DELETE after method compare excerise,,13-Feb-09,,,,
179,Aturidae,,Arthropoda,,,,Arachnida,,,,Acariformes,,,,Aturidae,,,,Na,,,PRD,0,4,4,Rapid Bioassessment Protocols 1989,,added from EcoAnalysts 2009,G.Hoffman,05-Aug-10,,,,
448,Acentrella turbida,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acentrella,turbida,"Pseudocloeon carolina, P.turbida, Cloeon carolina. A.carolina",SCR,0,4,4,Inferred from Hilsenhoff 1988,,,G.Hoffman,03-Dec-03,1,5,6,Cool
409,Acentrella,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acentrella,,Pseudocloeon,SCR,0,4,4,Inferred from Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,1,5,6,Cool
168,Acentrella parvula,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acentrella,parvula,"Plauditus parvulus, Pseudocloeon parvulum",SCR,0,4,4,Inferred from Hilsenhoff 1988,,,G.Hoffman,26-Aug-13,1,5,6,Cool
946,Acentrella nadineae,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Acentrella,nadineae,,SCR,0,4,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,5,6,Cool
940,Acerpenna macdunnoughi,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acerpenna,macdunnoughi,Baetis macdonnoughi,C-G,0,,5,Hilsenhoff 1987,,,G.Hoffman,24-Apr-07,1,,7.333333333,Warm
413,Acerpenna pygmaea,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acerpenna,pygmaeus,Centroptilum pygmaea,C-G,0,,4,Hilsenhoff 1987,,,M.Beauchene,13-Dec-04,1,,8,Warm
447,Acerpenna,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acerpenna,,Centroptilum,C-G,0,,5,CT DEP new,,,G.Hoffman,03-Dec-03,1,,,
412,Baetis intercalaris,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Baetis,intercalaris,,C-G,0,4,6,Hilsenhoff 1987,,,G.Hoffman,18-May-05,,7.333333333,7.666666667,Warm
411,Baetis flavistriga,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Baetis,flavistriga,,C-G,0,4,4,Hilsenhoff 1987,,,M.Beauchene,13-Dec-04,,7.666666667,7,Warm
941,Baetis pluto,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Baetis,pluto,,C-G,0,4,4,CTDEP,,added by LOTIC ID 2004,,17-Nov-05,,6,5.333333333,Cool
408,Baetis,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Baetis,,,C-G,0,4,5,Inferred from Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,,
954,Baetis tricaudatus complex,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Baetis,tricaudatus,,C-G,0,4,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,,
951,Baetis flavistriga complex,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Baetis,flavistriga,,C-G,0,4,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,,
953,Baetis intercalaris complex,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Baetis,intercalaris,,C-G,0,4,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,,
414,Baetis tricaudatus,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Baetis,tricaudatus,"Baetis frontalis, Baetis rusticans, Baetis vagans",C-G,0,4,2,CT DEP new,,,G.Hoffman,03-Dec-03,1,6.333333333,3,Cold
952,Baetis fuscatus group,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Baetis,fuscatus,,C-G,0,4,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,,
410,Baetis brunneicolor,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Baetis,brunneicolor,,C-G,0,4,4,from Hilsenhoff,,added by LOTIC ID 2004,,17-Nov-05,,,6.333333333,Cool
415,Callibaetis,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Callibaetis,,,C-G,0,,9,Hilsenhoff 1987,,,G.Hoffman,03-Dec-03,,,,
416,Centroptilum,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Centroptilum,,,C-G,0,,2,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,7.666666667,Warm
198,Cloeon dipterum,,,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Cloeon,dipterum,Neocloeon,C-G,0,,4,Hilsenhoff 1987,,,G.Hoffman,22-Sep-11,1,,,
1003,Neocloeon,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Cloeon,Na,Cloeon,C-G,0,,,,,Valid Name in ITIS is Cloeon,C.Bellucci,03-Nov-15,1,,,
942,Diphetor hageni,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Diphetor,hageni,Baetis hageni,C-G,0,,5,Hilsenhoff 1987,,,G.Hoffman,03-Dec-03,1,,4.333333333,Cool
418,Heterocloeon ,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Heterocloeon,,,SCR,0,,2,Hilsenhoff 1987,,,G.Hoffman,18-May-05,,8.666666667,7,Warm
1131,Heterocloeon frivolum,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Heterocloeon,Frivolum,,SCR,0,,,,,Added by Rhithron 2016,C.Bellucci,27-Dec-17,,8.666666667,7,Warm
52,Heterocloeon curiosum,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Heterocloeon,curiosum,,SCR,0,,2,Hilsenhoff 1987,,,G.Hoffman,07-Jan-03,,8.666666667,7,Warm
939,Heterocloeon amplum,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Heterocloeon,amplum,Baetis ampla,SCR,0,4,4,Inferred from Hilsenhoff 1987,,added by LOTIC ID 2004,,17-Nov-05,1,8.666666667,7,Warm
989,Iswaeon anoka,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Pisciforma,Na,Na,Baetidae,Na,Na,Na,Iswaeon,anoka,,SCR,0,,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,,
1188,Iswaeon,,Arthropoda,Hexapoda,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Iswaeon,,,SCR,0,,,,,"Added by EcoAna 2018 - 2019, Genus already identified at sp. Level",M.Becker,08-Feb-21,,,,
407,Baetidae,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Na,,,C-G,0,4,4,Hilsenhoff 1988,,,G.Hoffman,01-Dec-02,,,,
943,Plauditus,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Plauditus,,Baetis,C-G,0,3,4,Inferred from Hilsenhoff 1988,,,G.Hoffman,03-Dec-03,1,7,7,Warm
417,Procloeon,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Procloeon,,,C-G,0,,4,Inferred from Hilsenhoff 1988,,,M.Beauchene,13-Dec-04,,,7.333333333,Warm
126,Pseudocloeon frondale,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Pseudocloen,frondale,,SCR,0,,4,,,add by EcoAnalyst order # 987,G.Hoffman,31-Aug-07,,,,
268,Pseudocloeon,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Pseudocloen,,,SCR,0,,4,,,,G.Hoffman,26-Aug-13,,,,
10,Baetisca laurentina,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetiscidae,,,,Baetisca,laurentina,,C-G,1,3,3,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,4,Cool
472,Baetisca obesa,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetiscidae,,,,Baetisca,obesa,,C-G,1,3,5,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,4,Cool
182,Baetisca rubescens ,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetiscidae,,,,Baetisca,,,,1,3,,,,DELETE after method compare excerise,,13-Feb-09,,,4,Cool
471,Baetisca,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetiscidae,,,,Baetisca,,,C-G,1,3,3,Hilsenhoff 1988,,,G.Hoffman,01-Dec-02,,,4,Cool
853,Belostoma,,Arthropoda,,,,Insecta,,,,Hemiptera,,,,Belostomatidae,,,,Belostoma,,,PRD,0,,-99,Merritt and Cummins 1996,,can utilize atmospheric oxygen,G.Hoffman,03-Dec-03,,,,
955,Belostoma flumineum,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Nepomorpha,Nepoidea,Belostomatidae,Belostomatinae,Na,Na,Belostoma,flumineum,,PRD,0,,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,,
854,Lethocerus,,Arthropoda,,,,Insecta,,,,Hemiptera,,,,Belostomatidae,,,,Lethocerus,,,PRD,0,,-99,,,,G.Hoffman,31-Aug-07,,,,
541,Blepharicera,,Arthropoda,,,,Insecta,,,,Diptera,,,,Blephariceridae,,,,Blepharicera,,,SCR,0,,0,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,3.333333333,Cold
542,Blephariceridae,,Arthropoda,,,,Insecta,,,,Diptera,,,,Blephariceridae,,,,Na,,,SCR,0,,0,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,3.333333333,Cold
1,Adicrophleps hitchcocki,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Adricrophleps,hitchcocki,,SHR,1,2,2,CT DEP new,,,G.Hoffman,03-Dec-03,,,,
184,Brachycentrus americanus,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,,,1,3,,,,DELETE after method compare excerise,,13-Feb-09,,,2.666666667,Cold
186,Brachycentrus solomoni,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,,,1,3,,,,DELETE after method compare excerise,,13-Feb-09,,,5,Cool
347,Brachycentrus appalachia,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,appalachia,,C-F,1,3,0,NY DEC Species List 1989,,,G.Hoffman,01-Dec-02,,,7.333333333,Warm
865,Brachycentrus lateralis,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,lateralis,,C-G,1,3,1,,,,G.Hoffman,31-Aug-05,,,4.666666667,Cool
185,Brachycentrus nigrosoma,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,,,1,3,,,,DELETE after method compare excerise,,13-Feb-09,,,,
757,Brachycentrus,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,,,C-F,1,3,1,Inferred from Hilsenhoff 1988,,,G.Hoffman,01-Dec-02,,,,
758,Brachycentrus numerosus,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Brachycentrus,numerosus,,C-F,1,3,1,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,3.333333333,Cold
999,Micrasema Rusticum group,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,Na,Na,Limnephiloidea,Brachycentridae,Na,Na,Na,Micrasema,rusticum,,SHR,1,3,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,4.666666667,4,Cool
1138,Micrasema sprulesi,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Neoptera,Holometabola,Trichoptera,Na,Na,Limnephiloidea,Brachycentridae,Na,Na,Na,Micrasema,Sprulesi,,SHR,1,3,,,,Added by Rhithron 2016,C.Bellucci,27-Dec-17,,4.666666667,4,Cool
759,Micrasema,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Micrasema,,,SHR,1,3,2,Inferred from Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,4.666666667,4,Cool
756,Brachycentridae,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Na,,,C-F,1,,1,Inferred from Hilsenhoff 1988,,,G.Hoffman,01-Dec-02,,,,
187,Branchiobdellidae,,Annelida,,,,Clitellata,,,,Branchiobdellida,,,,Branchiobdellidae,,,,Na,,,C-G,0,,6,NY DEC Species List 1988,,,G.Hoffman,21-Feb-12,,,,
1115,Caenis latipennis,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Furcatergalia,Pannota,Caenoidea,Caenidae,Caeninae,Na,Na,Caenis,Latipennis,,C-G,1,4,,,,Added by Rhithron 2016,C.Bellucci,27-Dec-17,,,8.666666667,Warm
956,Caenis diminuta group,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Furcatergalia,Pannota,Caenoidea,Caenidae,Caeninae,Na,Na,Caenis,diminuta,,C-G,1,4,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,8.666666667,Warm
397,Caenis,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Caenidae,,,,Caenis,,,C-G,1,4,7,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,8.666666667,Warm
1114,Caenis Hilaris group,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Ephemeroptera,Furcatergalia,Pannota,Caenoidea,Caenidae,Caeninae,Na,Na,Caenis,Hilaris,,C-G,1,4,,,,Added by Rhithron 2016,C.Bellucci,27-Dec-17,,,8.666666667,Warm
188,Caenis anceps,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Caenidae,,,,Caenis,anceps,,C-G,1,4,7,,,Caenis anceps,G.Hoffman,08-Sep-08,,,8.666666667,Warm
396,Caenidae,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Caenidae,,,,Na,,,C-G,1,4,7,Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,,,,
234,Heteroplectron americanum,,,,,,Insecta,,,,Trichoptera,,,,Calamoceratidae,,,,Heteroplectron,americanum,,SHR,1,3,3,Inferred from Hilsenhoff 1988,,,G.Hoffman,31-Jul-12,,,,
1116,Calopteryx aequabilis,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Odonata,Zygoptera,Na,Na,Calopterygidae,Na,Na,Na,Calopteryx,Aequabilis,,PRD,,4,,,,Added by Rhithron 2016,C.Bellucci,27-Dec-17,,7,6.333333333,Cool
366,Calopteryx,,Arthropoda,,,,Insecta,,,,Odonata,,,,Calopterygidae,,,,Calopteryx,,Agrion,PRD,0,4,5,Inferred from Hilsenhoff 1987,,,G.Hoffman,01-Dec-02,1,7,6.333333333,Cool
367,Calopteryx maculata,,Arthropoda,,,,Insecta,,,,Odonata,,,,Calopterygidae,,,,Calopteryx,maculata,Agrion maculata,PRD,0,4,5,Hilsenhoff 1987,,,G.Hoffman,03-Dec-03,1,7,6.333333333,Cool
986,Hetaerina,Ecdysozoa,Arthropoda,Hexapoda,Na,Na,Insecta,Pterygota,Palaeoptera,Na,Odonata,Zygoptera,Na,Na,Calopterygidae,Na,Na,Na,Hetaerina,Na,,,0,,,,,Added by Rhithron 2014,C.Bellucci,03-Nov-15,,,7,Warm
365,Calopterygidae,,Arthropoda,,,,Insecta,,,,Odonata,,,,Calopterygidae,,,,Na,,,PRD,0,,5,Hilsenhoff 1988,,,G.Hoffman,03-Dec-03,,,,
400,Cambarus,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Cambarus,,,C-G,0,4,6,Rapid Bioassessment Protocols 1989,,,M.Beauchene,13-Dec-04,,,5,Cool
12,Cambarus robustus,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Cambarus,robustus,,C-G,0,4,6,,,,G.Hoffman,18-May-05,,,5,Cool
866,Cambarus bartonii,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Cambarus,bartonii,,C-G,0,4,6,Rapid Bioassessment Protocols 1989,,,M.Beauchene,13-Dec-04,,,5,Cool
399,Cambaridae,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Na,,,C-G,0,,6,Rapid Bioassessment Protocols 1989,,,,03-Mar-05,,,,
401,Orconectes,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Orconectes,,,C-G,0,,6,Rapid Bioassessment Protocols 1989,,,G.Hoffman,01-Dec-02,,5.333333333,5.666666667,Cool
402,Orconectes virilis,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Orconectes,virilis,,C-G,0,,6,Rapid Bioassessment Protocols 1989,,,M.Beauchene,13-Dec-04,,5.333333333,5.666666667,Cool
916,Orconectes immunis,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Orconectes,immunis,,C-G,0,,6,Rapid Bioassessment Protocols 1989,,,G.Hoffman,01-Dec-02,,5.333333333,5.666666667,Cool
439,Orconectes rusticus,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Orconectes,rusticus,,C-G,0,,6,Rapid Bioassessment Protocols 1989,,,G.Hoffman,03-Dec-03,,5.333333333,5.666666667,Cool
917,Orconectes limosus,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Orconectes,limosus,,C-G,0,,6,Rapid Bioassessment Protocols 1989,,,G.Hoffman,01-Dec-02,,5.333333333,5.666666667,Cool
